eBird_name,group_members,GBIF_name,GBIF_rank,GBIF_taxonKey
Pyrrhomyias cinnamomeus cinnamomeus/pyrrhopterus,"['Pyrrhomyias cinnamomeus pyrrhopterus', 'Pyrrhomyias cinnamomeus cinnamomeus']","['Pyrrhomyias cinnamomeus pyrrhopterus (Hartlaub, 1843)', 'Pyrrhomyias cinnamomeus cinnamomeus']","['SUBSPECIES', 'SUBSPECIES']","[6174323, 7192066]"
Hirundinea ferruginea,['Hirundinea ferruginea'],"Hirundinea ferruginea (Gmelin, 1788)",SPECIES,2483242
Hirundinea ferruginea ferruginea/sclateri,"['Hirundinea ferruginea sclateri', 'Hirundinea ferruginea ferruginea']","['Hirundinea ferruginea sclateri Reinhardt, 1870', 'Hirundinea ferruginea ferruginea']","['SUBSPECIES', 'SUBSPECIES']","[6174978, 7192075]"
Hirundinea ferruginea bellicosa/pallidior,"['Hirundinea ferruginea pallidior', 'Hirundinea ferruginea bellicosa']","['Hirundinea ferruginea pallidior Hartert & Goodson, 1917', 'Hirundinea ferruginea bellicosa (Vieillot, 1819)']","['SUBSPECIES', 'SUBSPECIES']","[6174980, 6174979]"
Myiotriccus ornatus,['Myiotriccus ornatus'],"Myiotriccus ornatus (Lafresnaye, 1853)",SPECIES,2483666
Myiotriccus ornatus ornatus/stellatus,"['Myiotriccus ornatus ornatus', 'Myiotriccus ornatus stellatus']","['Myiotriccus ornatus ornatus', 'Myiotriccus ornatus stellatus (Cabanis, 1873)']","['SUBSPECIES', 'SUBSPECIES']","[7060940, 6174700]"
Myiotriccus ornatus phoenicurus/aureiventris,"['Myiotriccus ornatus phoenicurus', 'Myiotriccus ornatus aureiventris']","['Myiotriccus ornatus phoenicurus (P.L.Sclater, 1855)', 'Myiotriccus ornatus aureiventris (P.L.Sclater, 1874)']","['SUBSPECIES', 'SUBSPECIES']","[6174702, 6174701]"
Nephelomyias pulcher,['Nephelomyias pulcher'],"Nephelomyias pulcher (P.L.Sclater, 1861)",SPECIES,7341904
Nephelomyias lintoni,['Nephelomyias lintoni'],"Nephelomyias lintoni (Meyer de Schauensee, 1951)",SPECIES,6093278
Nephelomyias ochraceiventris,['Nephelomyias ochraceiventris'],"Nephelomyias ochraceiventris (Cabanis, 1873)",SPECIES,6093270
Ornithion semiflavum,['Ornithion semiflavum'],"Ornithion semiflavum (P.L.Sclater & Salvin, 1860)",SPECIES,2483381
Ornithion brunneicapillus,['Ornithion brunneicapillus'],"Ornithion brunneicapillus (Lawrence, 1862)",SPECIES,2483382
Ornithion inerme,['Ornithion inerme'],"Ornithion inerme Hartlaub, 1853",SPECIES,2483380
Camptostoma imberbe,['Camptostoma imberbe'],"Camptostoma imberbe P.L.Sclater, 1857",SPECIES,2483507
Camptostoma obsoletum,['Camptostoma obsoletum'],"Camptostoma obsoletum (Temminck, 1824)",SPECIES,2483511
Camptostoma obsoletum [pusillum Group],"['Camptostoma obsoletum flaviventre', 'Camptostoma obsoletum orphnum', 'Camptostoma obsoletum majus', 'Camptostoma obsoletum caucae', 'Camptostoma obsoletum pusillum', 'Camptostoma obsoletum napaeum', 'Camptostoma obsoletum olivaceum']","['Camptostoma obsoletum flaviventre P.L.Sclater & Salvin, 1865', 'Camptostoma obsoletum orphnum Wetmore, 1957', 'Camptostoma obsoletum majus Griscom, 1932', 'Camptostoma obsoletum caucae Chapman, 1914', 'Camptostoma obsoletum pusillum (Cabanis & Heine, 1859)', 'Camptostoma obsoletum napaeum (Ridgway, 1888)', 'Camptostoma obsoletum olivaceum (Berlepsch, 1889)']","['SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES']","[6174786, 6174779, 6174783, 6174776, 6174784, 6174778, 6174788]"
Camptostoma obsoletum [obsoletum Group],"['Camptostoma obsoletum sclateri', 'Camptostoma obsoletum maranonicum', 'Camptostoma obsoletum griseum', 'Camptostoma obsoletum bolivianum', 'Camptostoma obsoletum cinerascens', 'Camptostoma obsoletum obsoletum']","['Camptostoma obsoletum sclateri (Berlepsch & Taczanowski, 1884)', 'Camptostoma obsoletum maranonicum Carriker, 1933', 'Camptostoma obsoletum griseum Carriker, 1933', 'Camptostoma obsoletum bolivianum Zimmer, 1941', 'Camptostoma obsoletum cinerascens (Wied-Neuwied, 1831)', 'Camptostoma obsoletum obsoletum']","['SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES']","[6174789, 6174787, 6174777, 6174785, 6174782, 7192101]"
Suiriri suiriri,['Suiriri suiriri'],"Suiriri suiriri (Vieillot, 1818)",SPECIES,2482852
Mecocerculus poecilocercus,['Mecocerculus poecilocercus'],"Mecocerculus poecilocercus (P.L.Sclater & Salvin, 1873)",SPECIES,2483836
Mecocerculus hellmayri,['Mecocerculus hellmayri'],"Mecocerculus hellmayri Berlepsch, 1907",SPECIES,2483837
Mecocerculus stictopterus,['Mecocerculus stictopterus'],"Mecocerculus stictopterus (P.L.Sclater, 1859)",SPECIES,2483838
Mecocerculus leucophrys,['Mecocerculus leucophrys'],"Mecocerculus leucophrys (Orbigny & Lafresnaye, 1837)",SPECIES,2483822
Mecocerculus calopterus,['Mecocerculus calopterus'],"Mecocerculus calopterus (P.L.Sclater, 1859)",SPECIES,2483843
Mecocerculus minor,['Mecocerculus minor'],"Mecocerculus minor (Taczanowski, 1879)",SPECIES,2483842
Anairetes nigrocristatus,['Anairetes nigrocristatus'],"Anairetes nigrocristatus Taczanowski, 1884",SPECIES,2482694
Anairetes reguloides,['Anairetes reguloides'],"Anairetes reguloides (Orbigny & Lafresnaye, 1837)",SPECIES,2482677
Anairetes alpinus,['Anairetes alpinus'],"Anairetes alpinus (Carriker, 1933)",SPECIES,2482685
Anairetes flavirostris,['Anairetes flavirostris'],"Anairetes flavirostris P.L.Sclater & Salvin, 1876",SPECIES,2482680
Anairetes parulus,['Anairetes parulus'],"Anairetes parulus (Kittlitz, 1830)",SPECIES,2482688
Anairetes fernandezianus,['Anairetes fernandezianus'],"Anairetes fernandezianus (Philippi, 1857)",SPECIES,2482695
Uromyias agilis,['Uromyias agilis'],"Uromyias agilis (P.L.Sclater, 1856)",SPECIES,2482693
Uromyias agraphia,['Uromyias agraphia'],"Uromyias agraphia (Chapman, 1919)",SPECIES,2482698
Nesotriccus tumbezanus,['Nesotriccus tumbezanus'],"Nesotriccus tumbezanus (Taczanowski, 1877)",SPECIES,12348416
Nesotriccus maranonicus,['Nesotriccus maranonicus'],"Nesotriccus maranonicus (J.T.Zimmer, 1941)",SPECIES,12278746
Nesotriccus ridgwayi,['Nesotriccus ridgwayi'],"Nesotriccus ridgwayi C.H.Townsend, 1895",SPECIES,2483450
Nesotriccus murinus,['Nesotriccus murinus'],"Nesotriccus murinus (Spix, 1825)",SPECIES,12313359
Nesotriccus murinus incomtus/eremonomus,"['Nesotriccus murinus eremonomus', 'Nesotriccus murinus incomtus']","[None, None]","[None, None]","[None, None]"
Nesotriccus murinus murinus/wagae,"['Nesotriccus murinus wagae', 'Nesotriccus murinus murinus']","['Nesotriccus murinus wagae (Taczanowski, 1884)', 'Nesotriccus murinus murinus']","['SUBSPECIES', 'SUBSPECIES']","[12311206, 12370278]"
Capsiempis flaveola,['Capsiempis flaveola'],"Capsiempis flaveola (Lichtenstein, 1823)",SPECIES,2483845
Polystictus pectoralis,['Polystictus pectoralis'],"Polystictus pectoralis (Vieillot, 1817)",SPECIES,5229775
Polystictus superciliaris,['Polystictus superciliaris'],"Polystictus superciliaris (Wied-Neuwied, 1831)",SPECIES,5229774
Culicivora caudacuta,['Culicivora caudacuta'],"Culicivora caudacuta (Vieillot, 1818)",SPECIES,2482675
Pseudocolopteryx sclateri,['Pseudocolopteryx sclateri'],"Pseudocolopteryx sclateri (Oustalet, 1892)",SPECIES,2482645
Pseudocolopteryx acutipennis,['Pseudocolopteryx acutipennis'],"Pseudocolopteryx acutipennis (P.L.Sclater & Salvin, 1873)",SPECIES,2482649
Pseudocolopteryx dinelliana,['Pseudocolopteryx dinelliana'],"Pseudocolopteryx dinelliana Lillo, 1905",SPECIES,2482647
Pseudocolopteryx flaviventris,['Pseudocolopteryx flaviventris'],"Pseudocolopteryx flaviventris (Orbigny & Lafresnaye, 1837)",SPECIES,2482646
Pseudocolopteryx citreola,['Pseudocolopteryx citreola'],"Pseudocolopteryx citreola (Landbeck, 1864)",SPECIES,6087180
Tyrannulus elatus,['Tyrannulus elatus'],"Tyrannulus elatus (Latham, 1790)",SPECIES,2483855
Myiopagis gaimardii,['Myiopagis gaimardii'],"Myiopagis gaimardii (Orbigny, 1840)",SPECIES,2482965
Myiopagis parambae,['Myiopagis parambae'],"Myiopagis parambae (Hellmayr, 1904)",SPECIES,11107644
Myiopagis cinerea,['Myiopagis cinerea'],"Myiopagis cinerea (Pelzeln, 1868)",SPECIES,10946252
Myiopagis olallai,['Myiopagis olallai'],"Myiopagis olallai Coopmans & Krabbe, 2000",SPECIES,2482946
Myiopagis olallai coopmansi,['Myiopagis olallai coopmansi'],"Myiopagis olallai coopmansi Cuervo, Stiles, Lentino, Brumfield & Derryberry, 2014",SUBSPECIES,8796103
Myiopagis olallai incognita,['Myiopagis olallai incognita'],"Myiopagis olallai incognita Cuervo, Stiles, Lentino, Brumfield & Derryberry, 2014",SUBSPECIES,8729423
Myiopagis olallai olallai,['Myiopagis olallai olallai'],Myiopagis olallai olallai,SUBSPECIES,9012803
Myiopagis caniceps,['Myiopagis caniceps'],"Myiopagis caniceps (Swainson, 1835)",SPECIES,2482960
Myiopagis subplacens,['Myiopagis subplacens'],"Myiopagis subplacens (P.L.Sclater, 1862)",SPECIES,2482958
Myiopagis flavivertex,['Myiopagis flavivertex'],"Myiopagis flavivertex (P.L.Sclater, 1887)",SPECIES,2482945
Myiopagis cotta,['Myiopagis cotta'],"Myiopagis cotta (Gosse, 1849)",SPECIES,2482959
Myiopagis viridicata,['Myiopagis viridicata'],"Myiopagis viridicata (Vieillot, 1817)",SPECIES,2482947
Myiopagis viridicata minima/jaliscensis,"['Myiopagis viridicata jaliscensis', 'Myiopagis viridicata minima']","['Myiopagis viridicata jaliscensis Nelson, 1900', 'Myiopagis viridicata minima Nelson, 1898']","['SUBSPECIES', 'SUBSPECIES']","[6174669, 6174666]"
Myiopagis viridicata [viridicata Group],"['Myiopagis viridicata placens', 'Myiopagis viridicata pacifica', 'Myiopagis viridicata accola', 'Myiopagis viridicata pallens', 'Myiopagis viridicata restricta', 'Myiopagis viridicata zuliae', 'Myiopagis viridicata implacens', 'Myiopagis viridicata viridicata']","['Myiopagis viridicata placens (P.L.Sclater, 1859)', 'Myiopagis viridicata pacifica (Brodkorb, 1943)', 'Myiopagis viridicata accola Bangs, 1902', 'Myiopagis viridicata pallens Bangs, 1902', 'Myiopagis viridicata restricta Todd, 1952', 'Myiopagis viridicata zuliae Zimmer & W.H.Phelps, 1955', 'Myiopagis viridicata implacens (P.L.Sclater, 1862)', 'Myiopagis viridicata viridicata']","['SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES']","[6174665, 6174662, 6174667, 6174668, 6174661, 6174664, 6174663, 7192069]"
Elaenia cristata,['Elaenia cristata'],"Elaenia cristata Pelzeln, 1868",SPECIES,5229640
Elaenia ruficeps,['Elaenia ruficeps'],"Elaenia ruficeps Pelzeln, 1868",SPECIES,5229650
Elaenia strepera,['Elaenia strepera'],"Elaenia strepera Cabanis, 1883",SPECIES,5229631
Elaenia gigas,['Elaenia gigas'],"Elaenia gigas P.L.Sclater, 1871",SPECIES,5229643
Elaenia sordida,['Elaenia sordida'],"Elaenia sordida J.T.Zimmer, 1941",SPECIES,10702160
Elaenia dayi,['Elaenia dayi'],"Elaenia dayi Chapman, 1929",SPECIES,5229658
Elaenia obscura,['Elaenia obscura'],"Elaenia obscura (Orbigny & Lafresnaye, 1837)",SPECIES,5229627
Elaenia flavogaster,['Elaenia flavogaster'],"Elaenia flavogaster (Thunberg, 1822)",SPECIES,5229606
Elaenia parvirostris,['Elaenia parvirostris'],"Elaenia parvirostris Pelzeln, 1868",SPECIES,5229612
Elaenia pelzelni,['Elaenia pelzelni'],"Elaenia pelzelni Berlepsch, 1907",SPECIES,5229630
Elaenia spectabilis,['Elaenia spectabilis'],"Elaenia spectabilis Pelzeln, 1868",SPECIES,5229614
Elaenia ridleyana,['Elaenia ridleyana'],"Elaenia ridleyana Sharpe, 1888",SPECIES,5229613
Elaenia mesoleuca,['Elaenia mesoleuca'],"Elaenia mesoleuca (Deppe, 1830)",SPECIES,5229611
Elaenia chiriquensis,['Elaenia chiriquensis'],"Elaenia chiriquensis Lawrence, 1865",SPECIES,5229615
Elaenia brachyptera,['Elaenia brachyptera'],"Elaenia brachyptera Berlepsch, 1907",SPECIES,8921536
Elaenia albiceps,['Elaenia albiceps'],"Elaenia albiceps (Orbigny & Lafresnaye, 1837)",SPECIES,5229651
Elaenia albiceps [albiceps Group],"['Elaenia albiceps griseigularis', 'Elaenia albiceps diversa', 'Elaenia albiceps urubambae', 'Elaenia albiceps albiceps']","['Elaenia albiceps griseigularis P.L.Sclater, 1859', 'Elaenia albiceps diversa Zimmer, 1941', 'Elaenia albiceps urubambae Zimmer, 1941', 'Elaenia albiceps albiceps']","['SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES']","[5229653, 5229656, 5229655, 7192128]"
Elaenia albiceps chilensis,['Elaenia albiceps chilensis'],"Elaenia albiceps chilensis Hellmayr, 1927",SUBSPECIES,5229652
Elaenia albiceps modesta,['Elaenia albiceps modesta'],"Elaenia albiceps modesta Tschudi, 1844",SUBSPECIES,5229657
Elaenia pallatangae,['Elaenia pallatangae'],"Elaenia pallatangae P.L.Sclater, 1862",SPECIES,9514023
Elaenia frantzii,['Elaenia frantzii'],"Elaenia frantzii Lawrence, 1865",SPECIES,5229622
Elaenia olivina,['Elaenia olivina'],"Elaenia olivina Salvin & Godman, 1884",SPECIES,7394570
Elaenia martinica,['Elaenia martinica'],"Elaenia martinica (Linnaeus, 1766)",SPECIES,5229632
Elaenia martinica [martinica Group],"['Elaenia martinica riisii', 'Elaenia martinica martinica', 'Elaenia martinica barbadensis']","['Elaenia martinica riisii P.L.Sclater, 1860', 'Elaenia martinica martinica', 'Elaenia martinica barbadensis Cory, 1888']","['SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES']","[5229637, 7192132, 5229634]"
Elaenia martinica [cinerascens Group],"['Elaenia martinica remota', 'Elaenia martinica chinchorrensis', 'Elaenia martinica cinerascens', 'Elaenia martinica caymanensis']","['Elaenia martinica remota Berlepsch, 1907', 'Elaenia martinica chinchorrensis Griscom, 1926', 'Elaenia martinica cinerascens', 'Elaenia martinica caymanensis Berlepsch, 1907']","['SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES']","[5229633, 5229636, 6086917, 5229639]"
Elaenia fallax,['Elaenia fallax'],"Elaenia fallax P.L.Sclater, 1861",SPECIES,5229619
Elaenia fallax fallax,['Elaenia fallax fallax'],Elaenia fallax fallax,SUBSPECIES,5229620
Elaenia fallax cherriei,['Elaenia fallax cherriei'],"Elaenia fallax cherriei Cory, 1895",SUBSPECIES,5229621
Serpophaga cinerea,['Serpophaga cinerea'],"Serpophaga cinerea (Tschudi, 1844)",SPECIES,2483963
Serpophaga hypoleuca,['Serpophaga hypoleuca'],"Serpophaga hypoleuca P.L.Sclater & Salvin, 1866",SPECIES,2483959
Serpophaga nigricans,['Serpophaga nigricans'],"Serpophaga nigricans (Vieillot, 1817)",SPECIES,2483958
Serpophaga subcristata,['Serpophaga subcristata'],"Serpophaga subcristata (Vieillot, 1817)",SPECIES,2483966
Serpophaga subcristata subcristata/straminea,"['Serpophaga subcristata subcristata', 'Serpophaga subcristata straminea']","['Serpophaga subcristata subcristata', 'Serpophaga subcristata straminea (Temminck, 1822)']","['SUBSPECIES', 'SUBSPECIES']","[6174952, 6174953]"
Serpophaga subcristata munda,['Serpophaga subcristata munda'],"Serpophaga subcristata munda Berlepsch, 1893",SUBSPECIES,12176655
Serpophaga griseicapilla,['Serpophaga griseicapilla'],"Serpophaga griseicapilla Straneck, 2007",SPECIES,6086503
Phyllomyias virescens,['Phyllomyias virescens'],"Phyllomyias virescens (Temminck, 1824)",SPECIES,2484045
Phyllomyias reiseri,['Phyllomyias reiseri'],"Phyllomyias reiseri Hellmayr, 1905",SPECIES,2484062
Phyllomyias urichi,['Phyllomyias urichi'],"Phyllomyias urichi (Chapman, 1899)",SPECIES,2484063
Phyllomyias sclateri,['Phyllomyias sclateri'],"Phyllomyias sclateri Berlepsch, 1901",SPECIES,2484042
Phyllomyias fasciatus,['Phyllomyias fasciatus'],"Phyllomyias fasciatus (Thunberg, 1822)",SPECIES,2484057
Phyllomyias weedeni,['Phyllomyias weedeni'],"Phyllomyias weedeni Herzog, Kessler & Balderrama, 2008",SPECIES,5789128
Phyllomyias griseiceps,['Phyllomyias griseiceps'],"Phyllomyias griseiceps (P.L.Sclater & Salvin, 1871)",SPECIES,2484033
Phyllomyias griseiceps griseiceps,['Phyllomyias griseiceps griseiceps'],Phyllomyias griseiceps griseiceps,SUBSPECIES,7192094
Phyllomyias griseiceps cristatus,['Phyllomyias griseiceps cristatus'],"Phyllomyias griseiceps cristatus Berlepsch, 1884",SUBSPECIES,6174713
Phyllomyias griseiceps caucae,['Phyllomyias griseiceps caucae'],"Phyllomyias griseiceps caucae Chapman, 1915",SUBSPECIES,6174715
Phyllomyias griseiceps pallidiceps,['Phyllomyias griseiceps pallidiceps'],"Phyllomyias griseiceps pallidiceps Zimmer, 1941",SUBSPECIES,6174714
Phyllomyias plumbeiceps,['Phyllomyias plumbeiceps'],"Phyllomyias plumbeiceps (Lawrence, 1869)",SPECIES,2484047
Phyllomyias griseocapilla,['Phyllomyias griseocapilla'],"Phyllomyias griseocapilla P.L.Sclater, 1862",SPECIES,2484061
Acrochordopus zeledoni,['Acrochordopus zeledoni'],,,
Acrochordopus zeledoni zeledoni,['Acrochordopus zeledoni zeledoni'],,,
Acrochordopus zeledoni [leucogonys Group],"['Acrochordopus zeledoni wetmorei', 'Acrochordopus zeledoni viridiceps', 'Acrochordopus zeledoni bunites', 'Acrochordopus zeledoni leucogonys']","[None, None, None, None]","[None, None, None, None]","[None, None, None, None]"
Acrochordopus burmeisteri,['Acrochordopus burmeisteri'],,,
Tyranniscus nigrocapillus,['Tyranniscus nigrocapillus'],,,
Tyranniscus cinereiceps,['Tyranniscus cinereiceps'],,,
Tyranniscus uropygialis,['Tyranniscus uropygialis'],,,
Zimmerius cinereicapilla,['Zimmerius cinereicapilla'],"Zimmerius cinereicapilla (Cabanis, 1873)",SPECIES,2483932
Zimmerius villarejoi,['Zimmerius villarejoi'],"Zimmerius villarejoi J.Alvarez & B.M.Whitney, 2001",SPECIES,2483942
Zimmerius chicomendesi,['Zimmerius chicomendesi'],"Zimmerius chicomendesi Whitney, Schunck, M.A.Rêgo & Silveira, 2013",SPECIES,8119633
Zimmerius acer,['Zimmerius acer'],"Zimmerius acer (Salvin & Godman, 1883)",SPECIES,5789110
Zimmerius vilissimus,['Zimmerius vilissimus'],"Zimmerius vilissimus (P.L.Sclater & Salvin, 1859)",SPECIES,2483943
Zimmerius parvus,['Zimmerius parvus'],"Zimmerius parvus (Lawrence, 1862)",SPECIES,8268597
Zimmerius albigularis,['Zimmerius albigularis'],"Zimmerius albigularis (Chapman, 1924)",SPECIES,5789111
Zimmerius improbus,['Zimmerius improbus'],"Zimmerius improbus (P.L.Sclater & Salvin, 1871)",SPECIES,2483949
Zimmerius chrysops,['Zimmerius chrysops'],"Zimmerius chrysops (P.L.Sclater, 1859)",SPECIES,2483936
Zimmerius chrysops minimus/cumanensis,"['Zimmerius chrysops minimus', 'Zimmerius chrysops cumanensis']","['Zimmerius chrysops minimus (Chapman, 1912)', 'Zimmerius chrysops cumanensis (Zimmer, 1941)']","['SUBSPECIES', 'SUBSPECIES']","[6174370, 6174369]"
Zimmerius chrysops chrysops,['Zimmerius chrysops chrysops'],Zimmerius chrysops chrysops,SUBSPECIES,7060868
Zimmerius viridiflavus,['Zimmerius viridiflavus'],"Zimmerius viridiflavus (Tschudi, 1844)",SPECIES,2483935
Zimmerius viridiflavus flavidifrons,['Zimmerius viridiflavus flavidifrons'],,,
Zimmerius viridiflavus viridiflavus,['Zimmerius viridiflavus viridiflavus'],,,
Zimmerius bolivianus,['Zimmerius bolivianus'],"Zimmerius bolivianus (Orbigny, 1840)",SPECIES,2483954
Zimmerius petersi,['Zimmerius petersi'],"Zimmerius petersi (Berlepsch, 1907)",SPECIES,7444328
Zimmerius gracilipes,['Zimmerius gracilipes'],"Zimmerius gracilipes (P.L.Sclater & Salvin, 1868)",SPECIES,2483950
Euscarthmus fulviceps,['Euscarthmus fulviceps'],"Euscarthmus fulviceps P.L.Sclater, 1871",SPECIES,8896866
Euscarthmus meloryphus,['Euscarthmus meloryphus'],"Euscarthmus meloryphus Wied-Neuwied, 1831",SPECIES,2483318
Euscarthmus rufomarginatus,['Euscarthmus rufomarginatus'],"Euscarthmus rufomarginatus (Pelzeln, 1868)",SPECIES,2483322
Pseudelaenia leucospodia,['Pseudelaenia leucospodia'],"Pseudelaenia leucospodia (Taczanowski, 1877)",SPECIES,2482702
Stigmatura napensis,['Stigmatura napensis'],"Stigmatura napensis Chapman, 1926",SPECIES,2483249
Stigmatura bahiae,['Stigmatura bahiae'],"Stigmatura bahiae Chapman, 1926",SPECIES,7555170
Stigmatura budytoides,['Stigmatura budytoides'],"Stigmatura budytoides (Orbigny & Lafresnaye, 1837)",SPECIES,2483252
Stigmatura budytoides [budytoides Group],"['Stigmatura budytoides budytoides', 'Stigmatura budytoides inzonata', 'Stigmatura budytoides flavocinerea']","['Stigmatura budytoides budytoides', 'Stigmatura budytoides inzonata Wetmore & J.L.Peters, 1923', 'Stigmatura budytoides flavocinerea (Burmeister, 1861)']","['SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES']","[7192127, 6174584, 6174583]"
Stigmatura budytoides gracilis,['Stigmatura budytoides gracilis'],"Stigmatura budytoides gracilis Zimmer, 1955",SUBSPECIES,6174582
Inezia tenuirostris,['Inezia tenuirostris'],"Inezia tenuirostris (Cory, 1913)",SPECIES,5229715
Inezia inornata,['Inezia inornata'],"Inezia inornata (Salvadori, 1897)",SPECIES,5229714
Inezia subflava,['Inezia subflava'],"Inezia subflava (P.L.Sclater & Salvin, 1873)",SPECIES,5229719
Inezia caudata,['Inezia caudata'],"Inezia caudata (Salvin, 1897)",SPECIES,5229716
Myiophobus flavicans,['Myiophobus flavicans'],"Myiophobus flavicans (P.L.Sclater, 1861)",SPECIES,5229791
Myiophobus phoenicomitra,['Myiophobus phoenicomitra'],"Myiophobus phoenicomitra (Taczanowski & Berlepsch, 1885)",SPECIES,5229797
Myiophobus inornatus,['Myiophobus inornatus'],"Myiophobus inornatus Carriker, 1932",SPECIES,5229800
Myiophobus roraimae,['Myiophobus roraimae'],"Myiophobus roraimae (Salvin & Godman, 1883)",SPECIES,5229780
Myiophobus cryptoxanthus,['Myiophobus cryptoxanthus'],"Myiophobus cryptoxanthus (P.L.Sclater, 1861)",SPECIES,5229785
Myiophobus fasciatus,['Myiophobus fasciatus'],"Myiophobus fasciatus (Statius Muller, 1776)",SPECIES,5229801
Myiophobus crypterythrus,['Myiophobus crypterythrus'],"Myiophobus crypterythrus (P.L.Sclater, 1861)",SPECIES,10977645
Myiophobus rufescens,['Myiophobus rufescens'],"Myiophobus rufescens (Salvadori, 1864)",SPECIES,10968123
Lathrotriccus euleri,['Lathrotriccus euleri'],"Lathrotriccus euleri (Cabanis, 1868)",SPECIES,2483792
Lathrotriccus euleri [flaviventris Group],"['Lathrotriccus euleri flaviventris', 'Lathrotriccus euleri lawrencei', 'Lathrotriccus euleri bolivianus']","['Lathrotriccus euleri flaviventris (Lawrence, 1887)', 'Lathrotriccus euleri lawrencei (Allen, 1889)', 'Lathrotriccus euleri bolivianus (Allen, 1889)']","['SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES']","[6174537, 6174541, 6174542]"
Lathrotriccus euleri euleri/argentinus,"['Lathrotriccus euleri argentinus', 'Lathrotriccus euleri euleri']","['Lathrotriccus euleri argentinus (Cabanis, 1868)', 'Lathrotriccus euleri euleri']","['SUBSPECIES', 'SUBSPECIES']","[6174539, 7192062]"
Lathrotriccus griseipectus,['Lathrotriccus griseipectus'],"Lathrotriccus griseipectus (Lawrence, 1869)",SPECIES,2483801
Aphanotriccus capitalis,['Aphanotriccus capitalis'],"Aphanotriccus capitalis (Salvin, 1865)",SPECIES,2483930
Aphanotriccus audax,['Aphanotriccus audax'],"Aphanotriccus audax (Nelson, 1912)",SPECIES,2483929
Xenotriccus callizonus,['Xenotriccus callizonus'],"Xenotriccus callizonus Dwight & Griscom, 1927",SPECIES,2484065
Xenotriccus mexicanus,['Xenotriccus mexicanus'],"Xenotriccus mexicanus (Zimmer, 1938)",SPECIES,2484066
Mitrephanes phaeocercus,['Mitrephanes phaeocercus'],"Mitrephanes phaeocercus (P.L.Sclater, 1859)",SPECIES,2483453
Mitrephanes phaeocercus phaeocercus/tenuirostris,"['Mitrephanes phaeocercus tenuirostris', 'Mitrephanes phaeocercus phaeocercus']","['Mitrephanes phaeocercus tenuirostris Brewster, 1888', 'Mitrephanes phaeocercus phaeocercus']","['SUBSPECIES', 'SUBSPECIES']","[6174280, 7192028]"
Mitrephanes phaeocercus aurantiiventris,['Mitrephanes phaeocercus aurantiiventris'],"Mitrephanes phaeocercus aurantiiventris (Lawrence, 1865)",SUBSPECIES,6174282
Mitrephanes phaeocercus berlepschi,['Mitrephanes phaeocercus berlepschi'],"Mitrephanes phaeocercus berlepschi Hartert, 1902",SUBSPECIES,6174279
Mitrephanes olivaceus,['Mitrephanes olivaceus'],"Mitrephanes olivaceus Berlepsch & Stolzmann, 1894",SPECIES,2483452
Contopus cooperi,['Contopus cooperi'],"Contopus cooperi (Nuttall, 1831)",SPECIES,5229743
Contopus ochraceus,['Contopus ochraceus'],"Contopus ochraceus P.L.Sclater & Salvin, 1869",SPECIES,5229729
Contopus pertinax,['Contopus pertinax'],"Contopus pertinax Cabanis & Heine, 1859",SPECIES,5229730
Contopus pertinax pertinax,['Contopus pertinax pertinax'],Contopus pertinax pertinax,SUBSPECIES,7192041
Contopus pertinax minor,['Contopus pertinax minor'],"Contopus pertinax minor (W.Miller & Griscom, 1925)",SUBSPECIES,5229731
Contopus lugubris,['Contopus lugubris'],"Contopus lugubris Lawrence, 1865",SPECIES,5229728
Contopus fumigatus,['Contopus fumigatus'],"Contopus fumigatus (Orbigny & Lafresnaye, 1837)",SPECIES,5229760
Contopus pallidus,['Contopus pallidus'],"Contopus pallidus (Gosse, 1847)",SPECIES,5229742
Contopus punensis,['Contopus punensis'],"Contopus punensis Lawrence, 1869",SPECIES,6101058
Contopus albogularis,['Contopus albogularis'],"Contopus albogularis (Berlioz, 1962)",SPECIES,5229722
Contopus nigrescens,['Contopus nigrescens'],"Contopus nigrescens (P.L.Sclater & Salvin, 1880)",SPECIES,5229739
Contopus cinereus,['Contopus cinereus'],"Contopus cinereus (Spix, 1825)",SPECIES,5229745
Contopus sordidulus,['Contopus sordidulus'],"Contopus sordidulus P.L.Sclater, 1859",SPECIES,5229754
Contopus bogotensis,['Contopus bogotensis'],"Contopus bogotensis (Bonaparte, 1850)",SPECIES,11029614
Contopus virens,['Contopus virens'],"Contopus virens (Linnaeus, 1766)",SPECIES,5229734
