cell_id,Pandion haliaetus,Pandion haliaetus haliaetus,Pandion haliaetus carolinensis,Pandion haliaetus ridgwayi,Pandion haliaetus cristatus
823827fffffffff,52.0,2.0,0.0,0.0,0.0
823837fffffffff,7.0,0.0,0.0,0.0,0.0
82384ffffffffff,6.0,0.0,0.0,0.0,0.0
823867fffffffff,3.0,0.0,0.0,0.0,0.0
82386ffffffffff,14.0,0.0,0.0,0.0,0.0
823877fffffffff,2.0,1.0,0.0,0.0,0.0
823907fffffffff,709.0,4.0,0.0,0.0,0.0
82390ffffffffff,147.0,5.0,0.0,0.0,0.0
823917fffffffff,3015.0,37.0,0.0,0.0,0.0
82391ffffffffff,3352.0,99.0,0.0,0.0,0.0
823927fffffffff,794.0,0.0,0.0,0.0,0.0
82392ffffffffff,407.0,0.0,0.0,0.0,0.0
823937fffffffff,1728.0,4.0,0.0,0.0,0.0
823947fffffffff,528.0,0.0,0.0,0.0,0.0
82394ffffffffff,6.0,1.0,0.0,0.0,0.0
823957fffffffff,592.0,0.0,0.0,0.0,0.0
82395ffffffffff,208.0,0.0,0.0,0.0,0.0
823967fffffffff,41.0,3.0,0.0,0.0,0.0
82396ffffffffff,209.0,11.0,0.0,0.0,0.0
823977fffffffff,952.0,2.0,0.0,0.0,0.0
823987fffffffff,115.0,17.0,0.0,0.0,0.0
82398ffffffffff,83.0,9.0,0.0,0.0,0.0
823997fffffffff,129.0,12.0,0.0,0.0,0.0
82399ffffffffff,1.0,0.0,0.0,0.0,0.0
8239affffffffff,171.0,5.0,0.0,0.0,0.0
823c07fffffffff,12.0,0.0,0.0,0.0,0.0
823c0ffffffffff,70.0,0.0,0.0,0.0,0.0
823c17fffffffff,180.0,0.0,0.0,0.0,0.0
823c1ffffffffff,495.0,0.0,0.0,0.0,0.0
823c37fffffffff,93.0,0.0,0.0,0.0,0.0
823c57fffffffff,51.0,0.0,0.0,0.0,0.0
823c5ffffffffff,56.0,0.0,0.0,0.0,0.0
823c6ffffffffff,1.0,0.0,0.0,0.0,0.0
823c87fffffffff,40.0,0.0,0.0,0.0,0.0
823c8ffffffffff,55.0,0.0,0.0,0.0,0.0
823c97fffffffff,61.0,0.0,0.0,0.0,0.0
823c9ffffffffff,38.0,0.0,0.0,0.0,0.0
823ca7fffffffff,6.0,0.0,0.0,0.0,0.0
823caffffffffff,50.0,0.0,0.0,0.0,0.0
823cb7fffffffff,195.0,0.0,0.0,0.0,0.0
823cc7fffffffff,76.0,3.0,0.0,0.0,0.0
823ccffffffffff,11.0,0.0,0.0,0.0,0.0
823cd7fffffffff,28.0,1.0,0.0,0.0,0.0
823ce7fffffffff,213.0,0.0,0.0,0.0,0.0
823ceffffffffff,684.0,0.0,0.0,0.0,0.0
823cf7fffffffff,412.0,18.0,0.0,0.0,0.0
823d17fffffffff,301.0,0.0,0.0,0.0,0.0
823d37fffffffff,40.0,0.0,0.0,0.0,0.0
