cell_id,Geothlypis trichas,Geothlypis trichas [arizela Group],Geothlypis trichas [melanops Group],Geothlypis trichas [trichas Group],Geothlypis trichas insperata,Geothlypis trichas chapalensis
8426f27ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426f2dffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8426f4bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8427023ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8427093ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8427097ffffffff,2.0,0.0,0.0,2.0,0.0,0.0
84270e3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842711bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8427127ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8427131ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8427183ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842719dffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84271c7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84271c9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8427411ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8427419ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
842741bffffffff,5.0,0.0,0.0,0.0,0.0,0.0
842741dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8427441ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8427445ffffffff,16.0,0.0,0.0,0.0,0.0,0.0
842744bffffffff,5.0,0.0,0.0,0.0,0.0,0.0
842745bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8427461ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8427463ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8427481ffffffff,27.0,0.0,0.0,0.0,0.0,0.0
8427483ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8427485ffffffff,14.0,0.0,0.0,0.0,0.0,0.0
8427487ffffffff,19.0,0.0,0.0,0.0,0.0,0.0
842748bffffffff,4.0,0.0,0.0,0.0,0.0,0.0
842748dffffffff,164.0,0.0,0.0,0.0,0.0,0.0
8427491ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8427493ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8427499ffffffff,61.0,0.0,0.0,0.0,0.0,0.0
842749bffffffff,7.0,0.0,0.0,0.0,0.0,0.0
842749dffffffff,8.0,0.0,0.0,0.0,0.0,0.0
84274abffffffff,24.0,0.0,0.0,0.0,0.0,0.0
84274b1ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84274b5ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
84274b9ffffffff,26.0,0.0,0.0,0.0,0.0,0.0
84274bdffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84274c1ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84274c5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84274cbffffffff,7.0,0.0,0.0,0.0,0.0,0.0
84274d1ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84274d3ffffffff,34.0,0.0,0.0,0.0,0.0,0.0
84274d5ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
84274d7ffffffff,18.0,0.0,0.0,0.0,0.0,0.0
84274d9ffffffff,11.0,0.0,0.0,0.0,0.0,0.0
84274dbffffffff,40.0,0.0,0.0,0.0,0.0,0.0
84274ddffffffff,13.0,0.0,0.0,0.0,0.0,0.0
84274e3ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8427519ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8427521ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8427527ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8427529ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
842752bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842753bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8427541ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8427569ffffffff,14.0,0.0,0.0,0.0,0.0,0.0
842756bffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8427581ffffffff,23.0,0.0,0.0,0.0,0.0,0.0
8427587ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
842758bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
842758dffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8427591ffffffff,17.0,0.0,0.0,0.0,0.0,0.0
8427593ffffffff,18.0,0.0,0.0,0.0,0.0,0.0
