cell_id,Picus viridis,Picus viridis viridis/karelini,Picus viridis innominatus
841e0d9ffffffff,2.0,0.0,0.0
841e0e1ffffffff,19.0,3.0,0.0
841e0e3ffffffff,21.0,0.0,0.0
841e0e5ffffffff,3.0,0.0,0.0
841e0e7ffffffff,95.0,3.0,0.0
841e0e9ffffffff,29.0,1.0,0.0
841e0ebffffffff,22.0,0.0,0.0
841e0edffffffff,28.0,0.0,0.0
841e101ffffffff,2.0,0.0,0.0
841e103ffffffff,17.0,0.0,0.0
841e105ffffffff,2.0,0.0,0.0
841e107ffffffff,6.0,0.0,0.0
841e109ffffffff,3.0,0.0,0.0
841e10bffffffff,36.0,0.0,0.0
841e111ffffffff,3.0,0.0,0.0
841e113ffffffff,16.0,1.0,0.0
841e115ffffffff,16.0,2.0,0.0
841e117ffffffff,6.0,2.0,0.0
841e119ffffffff,3.0,1.0,0.0
841e11dffffffff,6.0,0.0,0.0
841e121ffffffff,13.0,0.0,0.0
841e123ffffffff,32.0,0.0,0.0
841e125ffffffff,36.0,0.0,0.0
841e127ffffffff,3.0,0.0,0.0
841e129ffffffff,48.0,0.0,0.0
841e12bffffffff,25.0,0.0,0.0
841e12dffffffff,23.0,0.0,0.0
841e131ffffffff,12.0,0.0,0.0
841e135ffffffff,24.0,0.0,0.0
841e137ffffffff,4.0,0.0,0.0
841e139ffffffff,38.0,0.0,0.0
841e13bffffffff,22.0,0.0,0.0
841e13dffffffff,23.0,0.0,0.0
841e141ffffffff,3.0,0.0,0.0
841e145ffffffff,6.0,0.0,0.0
841e149ffffffff,21.0,0.0,0.0
841e14dffffffff,2.0,0.0,0.0
841e151ffffffff,2.0,2.0,0.0
841e153ffffffff,20.0,9.0,0.0
841e155ffffffff,3.0,0.0,0.0
841e157ffffffff,18.0,0.0,0.0
841e159ffffffff,4.0,1.0,0.0
841e15bffffffff,139.0,19.0,0.0
841e15dffffffff,1.0,0.0,0.0
841e163ffffffff,7.0,0.0,0.0
841e167ffffffff,20.0,0.0,0.0
841e169ffffffff,1.0,1.0,0.0
841e16dffffffff,2.0,0.0,0.0
841e185ffffffff,3.0,0.0,0.0
841e187ffffffff,2.0,0.0,0.0
841e18bffffffff,2.0,0.0,0.0
841e195ffffffff,2.0,0.0,0.0
841e19dffffffff,39.0,1.0,0.0
841e1a1ffffffff,1.0,0.0,0.0
841e1a9ffffffff,2.0,0.0,0.0
841e1b1ffffffff,18.0,0.0,0.0
841e1b3ffffffff,73.0,5.0,0.0
841e1b5ffffffff,2.0,0.0,0.0
841e1b7ffffffff,24.0,0.0,0.0
841e1b9ffffffff,1.0,0.0,0.0
841e1bdffffffff,2.0,0.0,0.0
841e1c1ffffffff,5.0,0.0,0.0
841e1c3ffffffff,6.0,2.0,0.0
841e1c5ffffffff,12.0,6.0,0.0
841e1c9ffffffff,6.0,1.0,0.0
841e1cbffffffff,77.0,4.0,0.0
841e1cdffffffff,6.0,0.0,0.0
841e1d1ffffffff,22.0,0.0,0.0
841e1d5ffffffff,6.0,1.0,0.0
841e1d7ffffffff,50.0,2.0,0.0
841e1d9ffffffff,7.0,0.0,0.0
841e1dbffffffff,3.0,0.0,0.0
841e1ddffffffff,71.0,3.0,0.0
841e1e7ffffffff,9.0,0.0,0.0
841e201ffffffff,14.0,0.0,0.0
841e205ffffffff,13.0,0.0,0.0
841e20dffffffff,23.0,0.0,0.0
841e219ffffffff,5.0,3.0,0.0
841e21bffffffff,6.0,6.0,0.0
841e21dffffffff,4.0,0.0,0.0
841e221ffffffff,13.0,0.0,0.0
841e223ffffffff,22.0,0.0,0.0
841e225ffffffff,259.0,3.0,0.0
841e227ffffffff,3.0,0.0,0.0
841e229ffffffff,1.0,0.0,0.0
841e22bffffffff,2.0,0.0,0.0
841e22dffffffff,23.0,0.0,0.0
841e231ffffffff,3.0,0.0,0.0
841e233ffffffff,20.0,0.0,0.0
841e235ffffffff,3.0,0.0,0.0
841e237ffffffff,3.0,0.0,0.0
841e239ffffffff,6.0,0.0,0.0
841e23dffffffff,26.0,0.0,0.0
841e241ffffffff,3.0,0.0,0.0
841e243ffffffff,12.0,0.0,0.0
841e249ffffffff,2.0,0.0,0.0
841e24bffffffff,62.0,0.0,0.0
841e253ffffffff,4.0,0.0,0.0
841e257ffffffff,24.0,0.0,0.0
841e259ffffffff,1.0,0.0,0.0
841e25dffffffff,1.0,0.0,0.0
841e261ffffffff,4.0,0.0,0.0
841e263ffffffff,1.0,0.0,0.0
841e265ffffffff,54.0,0.0,0.0
841e267ffffffff,3.0,0.0,0.0
841e269ffffffff,6.0,0.0,0.0
841e26dffffffff,1.0,0.0,0.0
841e281ffffffff,10.0,0.0,0.0
841e283ffffffff,1.0,0.0,0.0
841e285ffffffff,18.0,0.0,0.0
841e287ffffffff,2.0,0.0,0.0
841e289ffffffff,3.0,3.0,0.0
841e29dffffffff,2.0,0.0,0.0
841e2a1ffffffff,5.0,0.0,0.0
841e2a3ffffffff,19.0,0.0,0.0
841e2a5ffffffff,2.0,0.0,0.0
841e2a7ffffffff,8.0,0.0,0.0
841e2a9ffffffff,15.0,0.0,0.0
841e2abffffffff,4.0,0.0,0.0
841e2adffffffff,20.0,0.0,0.0
841e2b1ffffffff,4.0,0.0,0.0
841e2b5ffffffff,5.0,0.0,0.0
841e2b7ffffffff,3.0,0.0,0.0
841e2bbffffffff,1.0,0.0,0.0
841e2bdffffffff,7.0,0.0,0.0
841e2c1ffffffff,2.0,0.0,0.0
841e2c7ffffffff,1.0,0.0,0.0
841e2c9ffffffff,1.0,0.0,0.0
841e2d1ffffffff,7.0,0.0,0.0
841e2d7ffffffff,1.0,0.0,0.0
841e2e1ffffffff,9.0,1.0,0.0
841e2e3ffffffff,13.0,0.0,0.0
841e2e5ffffffff,30.0,0.0,0.0
841e2e7ffffffff,91.0,0.0,0.0
841e2e9ffffffff,1.0,0.0,0.0
841e301ffffffff,62.0,0.0,0.0
841e303ffffffff,20.0,0.0,0.0
841e305ffffffff,7.0,0.0,0.0
841e307ffffffff,529.0,4.0,0.0
841e309ffffffff,60.0,2.0,0.0
841e30bffffffff,223.0,0.0,0.0
841e30dffffffff,155.0,6.0,0.0
841e311ffffffff,2.0,0.0,0.0
841e313ffffffff,13.0,0.0,0.0
841e315ffffffff,1.0,0.0,0.0
841e317ffffffff,9.0,0.0,0.0
841e319ffffffff,110.0,0.0,0.0
841e31bffffffff,15.0,2.0,0.0
841e31dffffffff,4.0,0.0,0.0
841e321ffffffff,6.0,2.0,0.0
841e325ffffffff,35.0,2.0,0.0
841e327ffffffff,13.0,1.0,0.0
841e329ffffffff,8.0,0.0,0.0
841e32bffffffff,29.0,0.0,0.0
841e32dffffffff,23.0,1.0,0.0
841e333ffffffff,1.0,0.0,0.0
841e335ffffffff,2.0,0.0,0.0
841e337ffffffff,1.0,0.0,0.0
841e339ffffffff,155.0,0.0,0.0
841e33bffffffff,4.0,0.0,0.0
841e33dffffffff,10.0,0.0,0.0
841e341ffffffff,107.0,2.0,0.0
841e343ffffffff,95.0,0.0,0.0
841e345ffffffff,57.0,0.0,0.0
841e347ffffffff,51.0,0.0,0.0
841e349ffffffff,200.0,1.0,0.0
841e34bffffffff,250.0,3.0,0.0
841e34dffffffff,6.0,0.0,0.0
841e351ffffffff,297.0,0.0,0.0
841e353ffffffff,58.0,0.0,0.0
841e355ffffffff,1567.0,10.0,0.0
841e357ffffffff,169.0,0.0,0.0
841e359ffffffff,156.0,0.0,0.0
841e35bffffffff,32.0,0.0,0.0
841e35dffffffff,38.0,0.0,0.0
841e361ffffffff,15.0,0.0,0.0
841e363ffffffff,32.0,0.0,0.0
841e365ffffffff,69.0,4.0,0.0
841e367ffffffff,24.0,4.0,0.0
841e369ffffffff,1.0,0.0,0.0
841e36bffffffff,121.0,2.0,0.0
841e36dffffffff,11.0,2.0,0.0
841e425ffffffff,2.0,0.0,0.0
841e513ffffffff,3.0,0.0,0.0
841e519ffffffff,1.0,0.0,0.0
841e51bffffffff,2.0,0.0,0.0
841e525ffffffff,3.0,0.0,0.0
841e527ffffffff,5.0,0.0,0.0
841e529ffffffff,2.0,0.0,0.0
841e551ffffffff,3.0,0.0,0.0
841e553ffffffff,3.0,0.0,0.0
841e5a5ffffffff,1.0,0.0,0.0
841e5a9ffffffff,5.0,0.0,0.0
841e5adffffffff,6.0,0.0,0.0
841e5e5ffffffff,23.0,0.0,0.0
841e5e9ffffffff,1.0,0.0,0.0
841e723ffffffff,2.0,0.0,0.0
841e725ffffffff,1.0,0.0,0.0
841e727ffffffff,1.0,0.0,0.0
841e733ffffffff,2.0,0.0,0.0
841e761ffffffff,1.0,0.0,0.0
841e769ffffffff,2.0,0.0,0.0
841e76dffffffff,1.0,0.0,0.0
841e801ffffffff,7.0,0.0,0.0
841e803ffffffff,5.0,3.0,0.0
841e805ffffffff,35.0,3.0,0.0
841e809ffffffff,1.0,0.0,0.0
841e80bffffffff,3.0,0.0,0.0
841e80dffffffff,5.0,0.0,0.0
841e815ffffffff,9.0,3.0,0.0
841e817ffffffff,1.0,0.0,0.0
841e82bffffffff,27.0,3.0,0.0
841e831ffffffff,6.0,2.0,0.0
841e833ffffffff,8.0,0.0,0.0
841e83bffffffff,9.0,0.0,0.0
841e83dffffffff,3.0,0.0,0.0
841e841ffffffff,12.0,2.0,0.0
841e843ffffffff,2.0,0.0,0.0
841e845ffffffff,6.0,1.0,0.0
841e847ffffffff,20.0,0.0,0.0
841e849ffffffff,20.0,2.0,0.0
841e84bffffffff,3.0,0.0,0.0
841e84dffffffff,18.0,2.0,0.0
841e859ffffffff,7.0,2.0,0.0
841e85dffffffff,5.0,0.0,0.0
841e863ffffffff,20.0,0.0,0.0
841e869ffffffff,26.0,2.0,0.0
841e86bffffffff,6.0,0.0,0.0
841e8a1ffffffff,4.0,0.0,0.0
841e8a7ffffffff,2.0,0.0,0.0
841e8e5ffffffff,4.0,0.0,0.0
841e8e7ffffffff,2.0,0.0,0.0
841e8edffffffff,2.0,0.0,0.0
841e9d9ffffffff,2.0,0.0,0.0
841ea01ffffffff,10.0,1.0,0.0
841ea03ffffffff,2.0,0.0,0.0
841ea05ffffffff,2.0,0.0,0.0
841ea07ffffffff,4.0,3.0,0.0
841ea09ffffffff,6.0,0.0,0.0
