cell_id,Tringa semipalmata,Tringa semipalmata semipalmata,Tringa semipalmata inornata
8426929ffffffff,347.0,0.0,56.0
842692bffffffff,7.0,0.0,0.0
8426939ffffffff,4.0,0.0,0.0
8426941ffffffff,12.0,0.0,3.0
8426945ffffffff,17.0,0.0,0.0
8426947ffffffff,2.0,0.0,0.0
842694bffffffff,11.0,0.0,2.0
842694dffffffff,289.0,0.0,88.0
8426951ffffffff,1.0,0.0,0.0
8426957ffffffff,19.0,0.0,2.0
8426959ffffffff,2.0,0.0,0.0
8426961ffffffff,749.0,0.0,425.0
8426963ffffffff,182.0,0.0,70.0
8426965ffffffff,25.0,0.0,8.0
8426967ffffffff,26.0,0.0,4.0
8426969ffffffff,3137.0,0.0,1369.0
842696bffffffff,32.0,0.0,4.0
842696dffffffff,2.0,0.0,0.0
8426981ffffffff,9.0,0.0,2.0
8426983ffffffff,2.0,0.0,2.0
8426987ffffffff,29.0,0.0,4.0
8426989ffffffff,8.0,0.0,0.0
842698dffffffff,3.0,0.0,0.0
8426991ffffffff,10.0,0.0,0.0
8426993ffffffff,2.0,0.0,0.0
8426995ffffffff,25.0,0.0,4.0
84269a9ffffffff,3.0,0.0,0.0
84269b1ffffffff,2.0,0.0,0.0
84269bbffffffff,4.0,0.0,0.0
84269c1ffffffff,36.0,0.0,4.0
84269cbffffffff,77.0,0.0,31.0
84269cdffffffff,133.0,0.0,33.0
84269d1ffffffff,6.0,0.0,0.0
84269d3ffffffff,2.0,0.0,0.0
84269edffffffff,2.0,0.0,0.0
8426a15ffffffff,2.0,0.0,2.0
8426a19ffffffff,2.0,0.0,0.0
8426a1bffffffff,4.0,0.0,0.0
8426a21ffffffff,2.0,0.0,2.0
8426a27ffffffff,14.0,0.0,0.0
8426a29ffffffff,39.0,0.0,6.0
8426a2bffffffff,9.0,0.0,2.0
8426a35ffffffff,2.0,0.0,2.0
8426a37ffffffff,76.0,0.0,24.0
8426a41ffffffff,2.0,0.0,2.0
8426a4bffffffff,4.0,0.0,2.0
8426a51ffffffff,2.0,0.0,0.0
8426a53ffffffff,2.0,0.0,2.0
8426a69ffffffff,2.0,0.0,0.0
8426a81ffffffff,8.0,0.0,0.0
8426a83ffffffff,4.0,0.0,4.0
8426a87ffffffff,136.0,0.0,19.0
8426a8bffffffff,83.0,0.0,33.0
8426a91ffffffff,3.0,0.0,0.0
8426a95ffffffff,22.0,0.0,4.0
8426a97ffffffff,4.0,0.0,0.0
8426a9bffffffff,4.0,0.0,0.0
8426a9dffffffff,3.0,0.0,1.0
8426aa1ffffffff,341.0,0.0,86.0
8426aa5ffffffff,272.0,0.0,35.0
8426aa7ffffffff,33.0,0.0,1.0
8426aa9ffffffff,25.0,0.0,6.0
8426aabffffffff,62.0,0.0,11.0
8426aadffffffff,153.0,0.0,10.0
8426ab3ffffffff,26.0,0.0,9.0
8426ab7ffffffff,3.0,0.0,3.0
8426ab9ffffffff,6.0,0.0,0.0
8426abdffffffff,1.0,0.0,0.0
8426ac1ffffffff,3.0,0.0,1.0
8426ac3ffffffff,7.0,0.0,0.0
8426ac5ffffffff,9.0,0.0,0.0
8426ac7ffffffff,2.0,0.0,0.0
8426ac9ffffffff,9.0,0.0,0.0
8426acbffffffff,117.0,0.0,14.0
8426ad1ffffffff,9.0,0.0,0.0
8426ad7ffffffff,1.0,0.0,1.0
8426adbffffffff,5.0,0.0,0.0
8426addffffffff,4.0,0.0,0.0
8426ae3ffffffff,6.0,0.0,0.0
8426ae7ffffffff,20.0,0.0,0.0
8426ae9ffffffff,18.0,0.0,0.0
8426aebffffffff,2.0,0.0,0.0
8426b05ffffffff,19.0,0.0,4.0
8426b07ffffffff,5.0,0.0,5.0
8426b0bffffffff,55.0,0.0,0.0
8426b0dffffffff,9.0,0.0,0.0
8426b11ffffffff,4.0,0.0,0.0
8426b13ffffffff,7.0,0.0,0.0
8426b19ffffffff,28.0,0.0,0.0
8426b1bffffffff,5.0,0.0,0.0
8426b1dffffffff,16.0,0.0,0.0
8426b25ffffffff,55.0,0.0,8.0
8426b27ffffffff,21.0,0.0,5.0
8426b2bffffffff,7.0,0.0,2.0
8426b31ffffffff,2.0,0.0,0.0
8426b39ffffffff,24.0,0.0,17.0
8426b3bffffffff,2.0,0.0,1.0
8426b3dffffffff,16.0,0.0,2.0
8426b51ffffffff,2.0,0.0,0.0
8426b55ffffffff,3.0,0.0,0.0
8426b57ffffffff,1.0,0.0,0.0
8426b61ffffffff,4.0,0.0,3.0
8426b63ffffffff,6.0,0.0,0.0
8426b65ffffffff,6.0,0.0,0.0
8426b69ffffffff,4.0,0.0,2.0
8426b6dffffffff,95.0,0.0,0.0
8426c11ffffffff,3.0,0.0,0.0
8426c19ffffffff,34.0,0.0,5.0
8426c1bffffffff,19.0,0.0,0.0
8426c1dffffffff,11.0,0.0,2.0
8426c31ffffffff,4.0,0.0,0.0
8426c35ffffffff,1.0,0.0,0.0
8426c37ffffffff,47.0,0.0,7.0
8426c3bffffffff,4.0,0.0,0.0
8426c43ffffffff,31.0,0.0,1.0
8426c4dffffffff,6.0,0.0,0.0
8426c53ffffffff,32.0,0.0,11.0
8426c55ffffffff,2.0,0.0,2.0
8426c5bffffffff,8.0,0.0,4.0
8426c5dffffffff,1.0,0.0,0.0
8426c65ffffffff,5.0,0.0,3.0
8426c6bffffffff,13.0,0.0,2.0
8426c6dffffffff,2.0,0.0,0.0
8426c83ffffffff,4.0,0.0,0.0
8426c87ffffffff,16.0,0.0,0.0
8426c89ffffffff,142.0,0.0,0.0
8426c9dffffffff,3.0,0.0,0.0
8426cabffffffff,6.0,0.0,0.0
8426cb5ffffffff,5.0,0.0,0.0
8426cb9ffffffff,8.0,0.0,0.0
8426cbdffffffff,25.0,0.0,0.0
8426cc7ffffffff,1.0,0.0,0.0
8426cd7ffffffff,1.0,0.0,0.0
8426cebffffffff,1.0,0.0,1.0
8426d15ffffffff,1.0,0.0,0.0
8426d1bffffffff,4.0,0.0,0.0
8426d1dffffffff,1.0,0.0,0.0
8426d21ffffffff,2.0,0.0,0.0
8426d25ffffffff,1.0,0.0,0.0
8426d2bffffffff,7.0,0.0,3.0
8426d35ffffffff,2.0,0.0,0.0
8426d41ffffffff,12.0,0.0,4.0
8426d45ffffffff,11.0,0.0,0.0
8426d47ffffffff,2.0,0.0,0.0
8426d49ffffffff,2.0,0.0,0.0
8426d4bffffffff,7.0,0.0,0.0
8426d4dffffffff,3.0,0.0,0.0
8426d5dffffffff,2.0,0.0,0.0
