cell_id,Strix virgata,Strix virgata [virgata Group],Strix virgata superciliaris/macconnelli,Strix virgata borelliana
846d6e9ffffffff,38.0,0.0,0.0,0.0
846d6ebffffffff,2.0,0.0,0.0,0.0
846d6edffffffff,5.0,0.0,0.0,0.0
846d741ffffffff,54.0,0.0,0.0,0.0
846d743ffffffff,11.0,0.0,0.0,0.0
846d745ffffffff,58.0,0.0,0.0,0.0
846d749ffffffff,16.0,0.0,0.0,0.0
846d74bffffffff,33.0,0.0,0.0,0.0
846d759ffffffff,2.0,0.0,0.0,0.0
846d75bffffffff,2.0,0.0,0.0,0.0
846d75dffffffff,32.0,0.0,0.0,0.0
8481029ffffffff,2.0,0.0,0.0,0.0
8481149ffffffff,1.0,0.0,0.0,0.0
8481339ffffffff,13.0,0.0,0.0,0.0
848133dffffffff,2.0,0.0,0.0,0.0
8481343ffffffff,6.0,0.0,0.0,0.0
848134dffffffff,2.0,0.0,0.0,0.0
8481363ffffffff,3.0,0.0,0.0,0.0
84814d5ffffffff,10.0,0.0,0.0,0.0
848181dffffffff,1.0,0.0,0.0,0.0
8481851ffffffff,5.0,0.0,0.0,0.0
8481857ffffffff,12.0,0.0,0.0,0.0
8481ae3ffffffff,2.0,0.0,0.0,0.0
848a157ffffffff,1.0,0.0,1.0,0.0
848a451ffffffff,2.0,0.0,0.0,0.0
848a459ffffffff,2.0,0.0,0.0,0.0
848a6d3ffffffff,14.0,0.0,0.0,0.0
848a6d7ffffffff,7.0,0.0,0.0,0.0
848a6d9ffffffff,4.0,0.0,0.0,0.0
848a6dbffffffff,8.0,0.0,0.0,0.0
848ad13ffffffff,2.0,0.0,0.0,0.0
848af61ffffffff,2.0,0.0,2.0,0.0
