cell_id,Galbula ruficauda,Galbula ruficauda melanogenia,Galbula ruficauda [ruficauda Group],Galbula ruficauda rufoviridis/heterogyna
83a8c5fffffffff,3.0,0.0,0.0,0.0
83a8c6fffffffff,21.0,0.0,0.0,0.0
83a8c9fffffffff,17.0,0.0,0.0,17.0
83a8cafffffffff,8.0,0.0,0.0,0.0
83a8ccfffffffff,11.0,0.0,0.0,0.0
83a8cdfffffffff,3.0,0.0,0.0,0.0
83a8cefffffffff,3.0,0.0,0.0,0.0
83a8d0fffffffff,9.0,0.0,0.0,0.0
83a8d1fffffffff,367.0,0.0,0.0,7.0
83a8d3fffffffff,46.0,0.0,0.0,0.0
83a8d4fffffffff,41.0,0.0,0.0,0.0
83a8d5fffffffff,12.0,0.0,0.0,0.0
83a8d6fffffffff,2.0,0.0,0.0,0.0
83a8d9fffffffff,2.0,0.0,0.0,0.0
83a8dafffffffff,11.0,0.0,0.0,0.0
83a8dbfffffffff,2.0,0.0,0.0,0.0
83a8ddfffffffff,4.0,0.0,0.0,0.0
83a8defffffffff,208.0,0.0,0.0,0.0
83a8e0fffffffff,3.0,0.0,0.0,0.0
83a8e1fffffffff,1.0,0.0,0.0,0.0
83a8e4fffffffff,2.0,0.0,0.0,0.0
83a8e5fffffffff,2.0,0.0,0.0,0.0
83a8e6fffffffff,51.0,0.0,0.0,1.0
83a8eafffffffff,2.0,0.0,0.0,0.0
83a8ebfffffffff,2.0,0.0,0.0,0.0
83a8ecfffffffff,36.0,0.0,0.0,2.0
83a8eefffffffff,1.0,0.0,0.0,0.0
83a8f0fffffffff,6.0,0.0,0.0,0.0
83a8f1fffffffff,6.0,0.0,0.0,0.0
83a8f2fffffffff,2.0,0.0,0.0,0.0
83a8f4fffffffff,37.0,0.0,0.0,0.0
83a8f5fffffffff,23.0,0.0,0.0,0.0
83a8f6fffffffff,3.0,0.0,0.0,0.0
83b325fffffffff,2.0,0.0,0.0,0.0
