cell_id,Rupornis magnirostris,Rupornis magnirostris gracilis,Rupornis magnirostris [magnirostris Group],Rupornis magnirostris [pucherani Group]
845f1edffffffff,3.0,0.0,0.0,0.0
845f223ffffffff,4.0,0.0,0.0,0.0
845f227ffffffff,1.0,0.0,0.0,0.0
845f291ffffffff,45.0,0.0,0.0,0.0
845f295ffffffff,104.0,0.0,0.0,0.0
845f297ffffffff,12.0,0.0,0.0,0.0
845f299ffffffff,71.0,0.0,0.0,0.0
845f29dffffffff,103.0,0.0,0.0,0.0
845f2b1ffffffff,19.0,0.0,0.0,0.0
845f2b3ffffffff,110.0,0.0,0.0,0.0
845f2b7ffffffff,1.0,0.0,0.0,0.0
845f2b9ffffffff,7.0,0.0,0.0,0.0
845f2bbffffffff,365.0,0.0,0.0,0.0
845f2d1ffffffff,48.0,0.0,0.0,0.0
845f2d3ffffffff,10.0,0.0,0.0,0.0
845f2d5ffffffff,8.0,0.0,0.0,0.0
845f2d7ffffffff,15.0,0.0,0.0,0.0
845f2dbffffffff,4.0,0.0,0.0,0.0
845f401ffffffff,2.0,0.0,0.0,0.0
845f403ffffffff,8.0,0.0,0.0,0.0
845f407ffffffff,34.0,0.0,1.0,0.0
845f40dffffffff,3.0,0.0,0.0,0.0
845f411ffffffff,2.0,0.0,0.0,0.0
845f415ffffffff,13.0,0.0,0.0,0.0
845f417ffffffff,5.0,0.0,0.0,0.0
845f42bffffffff,70.0,0.0,0.0,0.0
845f437ffffffff,10.0,0.0,0.0,0.0
845f445ffffffff,8.0,0.0,0.0,0.0
845f461ffffffff,1.0,0.0,0.0,0.0
845f46bffffffff,4.0,0.0,0.0,0.0
845f483ffffffff,7.0,0.0,0.0,0.0
845f487ffffffff,13.0,0.0,0.0,0.0
845f491ffffffff,6.0,0.0,0.0,0.0
845f49bffffffff,2.0,0.0,0.0,0.0
845f4a3ffffffff,14.0,0.0,0.0,0.0
845f4a7ffffffff,1.0,0.0,0.0,0.0
845f4a9ffffffff,23.0,0.0,0.0,0.0
845f4abffffffff,5.0,0.0,0.0,0.0
845f4b9ffffffff,2.0,0.0,0.0,0.0
845f4bbffffffff,1.0,0.0,0.0,0.0
845f4bdffffffff,12.0,0.0,0.0,0.0
845f4d7ffffffff,2.0,0.0,0.0,0.0
845f4ddffffffff,2.0,0.0,0.0,0.0
845f4e1ffffffff,1.0,0.0,0.0,0.0
845f4e3ffffffff,6.0,0.0,0.0,0.0
845f4e5ffffffff,15.0,0.0,0.0,0.0
845f4e7ffffffff,12.0,0.0,0.0,0.0
845f4edffffffff,1.0,0.0,0.0,0.0
845f501ffffffff,4.0,0.0,0.0,0.0
845f50bffffffff,15.0,0.0,0.0,0.0
845f549ffffffff,2.0,0.0,0.0,0.0
845f5dbffffffff,3.0,0.0,0.0,0.0
845f665ffffffff,2.0,0.0,0.0,0.0
845f683ffffffff,18.0,0.0,0.0,0.0
845f689ffffffff,4.0,0.0,0.0,0.0
845f68bffffffff,36.0,0.0,0.0,0.0
845f691ffffffff,1.0,0.0,0.0,0.0
845f703ffffffff,2.0,0.0,0.0,0.0
845f711ffffffff,71.0,0.0,2.0,0.0
845f713ffffffff,19.0,0.0,0.0,0.0
845f755ffffffff,12.0,0.0,0.0,0.0
845f759ffffffff,38.0,0.0,0.0,0.0
845f75dffffffff,14.0,0.0,0.0,0.0
845f767ffffffff,5.0,0.0,0.0,0.0
8466005ffffffff,21.0,0.0,0.0,0.0
8466007ffffffff,5.0,0.0,2.0,0.0
8466009ffffffff,3.0,0.0,0.0,0.0
846600dffffffff,7.0,0.0,0.0,0.0
8466013ffffffff,3.0,0.0,0.0,0.0
8466017ffffffff,2.0,0.0,0.0,0.0
846601bffffffff,51.0,0.0,6.0,0.0
8466021ffffffff,128.0,0.0,0.0,0.0
8466023ffffffff,68.0,0.0,0.0,0.0
8466025ffffffff,84.0,0.0,0.0,0.0
8466027ffffffff,42.0,0.0,0.0,0.0
8466029ffffffff,10.0,0.0,0.0,0.0
846602bffffffff,35.0,0.0,0.0,0.0
846602dffffffff,3.0,0.0,0.0,0.0
8466033ffffffff,5.0,0.0,0.0,0.0
8466035ffffffff,11.0,0.0,0.0,0.0
8466037ffffffff,2.0,0.0,0.0,0.0
846603dffffffff,14.0,0.0,0.0,0.0
8466043ffffffff,14.0,0.0,0.0,0.0
8466045ffffffff,89.0,0.0,1.0,0.0
8466047ffffffff,20.0,0.0,0.0,0.0
846604dffffffff,5.0,0.0,0.0,0.0
8466053ffffffff,2.0,0.0,0.0,0.0
8466055ffffffff,5.0,0.0,0.0,0.0
8466057ffffffff,3.0,0.0,0.0,0.0
8466059ffffffff,3.0,0.0,0.0,0.0
846605bffffffff,4.0,0.0,0.0,0.0
8466061ffffffff,20.0,0.0,0.0,0.0
8466063ffffffff,16.0,0.0,0.0,0.0
8466067ffffffff,106.0,0.0,0.0,0.0
8466069ffffffff,6.0,0.0,0.0,0.0
846606bffffffff,22.0,0.0,0.0,0.0
8466081ffffffff,240.0,0.0,0.0,0.0
8466083ffffffff,42.0,0.0,0.0,0.0
8466085ffffffff,59.0,0.0,0.0,0.0
8466087ffffffff,209.0,0.0,0.0,0.0
8466089ffffffff,553.0,0.0,0.0,0.0
846608bffffffff,45.0,0.0,0.0,0.0
846608dffffffff,1547.0,0.0,22.0,0.0
8466091ffffffff,28.0,0.0,0.0,0.0
8466093ffffffff,32.0,0.0,0.0,0.0
8466095ffffffff,20.0,0.0,0.0,0.0
8466097ffffffff,47.0,0.0,2.0,0.0
8466099ffffffff,6.0,0.0,0.0,0.0
846609bffffffff,11.0,0.0,0.0,0.0
846609dffffffff,30.0,0.0,0.0,0.0
84660a1ffffffff,44.0,0.0,0.0,0.0
84660a3ffffffff,27.0,0.0,0.0,0.0
84660a5ffffffff,75.0,0.0,0.0,0.0
84660a7ffffffff,776.0,0.0,16.0,0.0
84660a9ffffffff,11.0,0.0,0.0,0.0
84660abffffffff,7.0,0.0,0.0,0.0
84660adffffffff,39.0,0.0,2.0,0.0
84660b1ffffffff,45.0,0.0,0.0,0.0
84660b3ffffffff,126.0,0.0,0.0,0.0
84660b5ffffffff,141.0,0.0,0.0,0.0
84660b7ffffffff,179.0,0.0,0.0,0.0
84660b9ffffffff,147.0,0.0,0.0,0.0
84660bbffffffff,39.0,0.0,0.0,0.0
84660bdffffffff,497.0,0.0,0.0,0.0
84660c1ffffffff,25.0,0.0,0.0,0.0
84660c3ffffffff,25.0,0.0,0.0,0.0
84660c5ffffffff,21.0,0.0,0.0,0.0
84660c7ffffffff,70.0,0.0,2.0,0.0
84660c9ffffffff,3.0,0.0,0.0,0.0
84660cbffffffff,122.0,0.0,2.0,0.0
84660cdffffffff,14.0,0.0,0.0,0.0
84660d1ffffffff,78.0,0.0,2.0,0.0
84660d3ffffffff,33.0,0.0,0.0,0.0
84660d9ffffffff,11.0,0.0,0.0,0.0
84660dbffffffff,11.0,0.0,6.0,0.0
84660ddffffffff,135.0,0.0,0.0,0.0
84660e1ffffffff,77.0,0.0,0.0,0.0
84660e3ffffffff,51.0,0.0,0.0,0.0
84660e5ffffffff,1.0,0.0,0.0,0.0
84660e7ffffffff,35.0,0.0,0.0,0.0
84660e9ffffffff,22.0,0.0,0.0,0.0
84660ebffffffff,173.0,0.0,0.0,0.0
8466101ffffffff,3.0,0.0,0.0,0.0
8466103ffffffff,14.0,0.0,0.0,0.0
8466105ffffffff,65.0,0.0,0.0,0.0
8466107ffffffff,1970.0,0.0,0.0,0.0
846610bffffffff,7.0,0.0,0.0,0.0
8466111ffffffff,2.0,0.0,0.0,0.0
8466113ffffffff,113.0,0.0,0.0,0.0
8466117ffffffff,26.0,0.0,0.0,0.0
8466119ffffffff,150.0,0.0,2.0,0.0
846611bffffffff,9.0,0.0,0.0,0.0
846611dffffffff,2.0,0.0,0.0,0.0
8466129ffffffff,7.0,0.0,0.0,0.0
8466131ffffffff,2.0,0.0,0.0,0.0
8466135ffffffff,9.0,0.0,0.0,0.0
8466139ffffffff,1836.0,0.0,0.0,0.0
846613bffffffff,3.0,0.0,0.0,0.0
846613dffffffff,46.0,0.0,0.0,0.0
8466153ffffffff,51.0,0.0,0.0,0.0
846615bffffffff,28.0,0.0,0.0,0.0
8466161ffffffff,3.0,0.0,0.0,0.0
8466163ffffffff,172.0,0.0,0.0,0.0
8466165ffffffff,40.0,0.0,0.0,0.0
8466167ffffffff,70.0,0.0,0.0,0.0
8466181ffffffff,135.0,0.0,0.0,0.0
8466183ffffffff,751.0,0.0,12.0,0.0
8466185ffffffff,4.0,0.0,0.0,0.0
8466187ffffffff,31.0,0.0,2.0,0.0
8466189ffffffff,94.0,0.0,0.0,0.0
846618bffffffff,590.0,0.0,6.0,0.0
846618dffffffff,13.0,0.0,0.0,0.0
8466191ffffffff,338.0,0.0,0.0,0.0
8466193ffffffff,1693.0,0.0,23.0,0.0
8466195ffffffff,274.0,0.0,2.0,0.0
8466197ffffffff,1168.0,0.0,0.0,0.0
8466199ffffffff,265.0,0.0,0.0,0.0
846619bffffffff,961.0,0.0,25.0,0.0
846619dffffffff,1334.0,0.0,2.0,0.0
84661a3ffffffff,3.0,0.0,0.0,0.0
84661a5ffffffff,208.0,0.0,14.0,0.0
84661a7ffffffff,25.0,0.0,0.0,0.0
84661adffffffff,55.0,0.0,0.0,0.0
84661b1ffffffff,448.0,0.0,37.0,0.0
84661b3ffffffff,912.0,0.0,23.0,0.0
84661b5ffffffff,2.0,0.0,0.0,0.0
84661b7ffffffff,32.0,0.0,0.0,0.0
84661b9ffffffff,2074.0,0.0,6.0,0.0
84661bbffffffff,1935.0,0.0,23.0,0.0
84661bdffffffff,62.0,0.0,2.0,0.0
84661c1ffffffff,11.0,0.0,0.0,0.0
84661c3ffffffff,35.0,0.0,0.0,0.0
84661c5ffffffff,3.0,0.0,0.0,0.0
84661c9ffffffff,39.0,0.0,0.0,0.0
84661cbffffffff,45.0,0.0,0.0,0.0
84661cdffffffff,136.0,0.0,0.0,0.0
84661d1ffffffff,421.0,0.0,10.0,0.0
84661d3ffffffff,34.0,0.0,0.0,0.0
84661d5ffffffff,193.0,0.0,0.0,0.0
84661d7ffffffff,186.0,0.0,3.0,0.0
84661dbffffffff,16.0,0.0,0.0,0.0
84661ddffffffff,61.0,0.0,0.0,0.0
84661e9ffffffff,5.0,0.0,0.0,0.0
84661ebffffffff,466.0,0.0,0.0,0.0
8466201ffffffff,45.0,0.0,4.0,0.0
8466203ffffffff,34.0,0.0,2.0,0.0
8466205ffffffff,61.0,0.0,4.0,0.0
8466207ffffffff,3.0,0.0,0.0,0.0
846620bffffffff,335.0,0.0,26.0,0.0
8466213ffffffff,4.0,0.0,0.0,0.0
8466217ffffffff,25.0,0.0,0.0,0.0
8466219ffffffff,26.0,0.0,0.0,0.0
846621bffffffff,8.0,0.0,0.0,0.0
846621dffffffff,2.0,0.0,0.0,0.0
8466221ffffffff,137.0,0.0,6.0,0.0
8466223ffffffff,11.0,0.0,0.0,0.0
8466225ffffffff,206.0,0.0,9.0,0.0
8466227ffffffff,99.0,0.0,3.0,0.0
846622bffffffff,239.0,0.0,26.0,0.0
8466231ffffffff,2.0,0.0,0.0,0.0
8466237ffffffff,2.0,0.0,0.0,0.0
846623bffffffff,50.0,0.0,6.0,0.0
8466251ffffffff,1.0,0.0,0.0,0.0
8466253ffffffff,2.0,0.0,0.0,0.0
8466257ffffffff,4.0,0.0,0.0,0.0
846625bffffffff,2.0,0.0,0.0,0.0
8466283ffffffff,8.0,0.0,0.0,0.0
8466285ffffffff,2.0,0.0,0.0,0.0
8466289ffffffff,3.0,0.0,0.0,0.0
846628bffffffff,3.0,0.0,0.0,0.0
8466291ffffffff,98.0,0.0,1.0,0.0
8466293ffffffff,15.0,0.0,0.0,0.0
8466295ffffffff,7.0,0.0,0.0,0.0
8466297ffffffff,3.0,0.0,0.0,0.0
8466299ffffffff,29.0,0.0,3.0,0.0
846629bffffffff,35.0,0.0,0.0,0.0
846629dffffffff,75.0,0.0,0.0,0.0
84662a7ffffffff,5.0,0.0,0.0,0.0
84662b1ffffffff,10.0,0.0,0.0,0.0
84662b3ffffffff,1.0,0.0,0.0,0.0
84662b5ffffffff,77.0,0.0,0.0,0.0
84662b7ffffffff,72.0,0.0,0.0,0.0
84662bbffffffff,3.0,0.0,0.0,0.0
84662bdffffffff,6.0,0.0,0.0,0.0
84662cdffffffff,14.0,0.0,0.0,0.0
84662d3ffffffff,3.0,0.0,0.0,0.0
84662d7ffffffff,1.0,0.0,0.0,0.0
84662dbffffffff,4.0,0.0,0.0,0.0
84662e1ffffffff,5.0,0.0,0.0,0.0
84662e5ffffffff,8.0,0.0,2.0,0.0
