cell_id,Myiarchus swainsoni,Myiarchus swainsoni phaeonotus,Myiarchus swainsoni [swainsoni Group]
84a82a5ffffffff,2.0,0.0,0.0
84a82e1ffffffff,17.0,0.0,0.0
84a82e3ffffffff,5.0,0.0,0.0
84a82e7ffffffff,2.0,0.0,0.0
84a8311ffffffff,22.0,0.0,0.0
84a8313ffffffff,24.0,0.0,0.0
84a8315ffffffff,2.0,0.0,0.0
84a8317ffffffff,1.0,0.0,0.0
84a8319ffffffff,13.0,0.0,0.0
84a831bffffffff,15.0,0.0,0.0
84a831dffffffff,2.0,0.0,0.0
84a8333ffffffff,1.0,0.0,0.0
84a833bffffffff,8.0,0.0,0.0
84a8351ffffffff,3.0,0.0,0.0
84a8353ffffffff,67.0,0.0,0.0
84a8357ffffffff,13.0,0.0,0.0
84a8359ffffffff,2.0,0.0,0.0
84a835bffffffff,28.0,0.0,0.0
84a835dffffffff,4.0,0.0,0.0
84a840dffffffff,7.0,0.0,0.0
84a8413ffffffff,6.0,0.0,0.0
84a842bffffffff,1.0,0.0,0.0
84a844dffffffff,6.0,0.0,0.0
84a845bffffffff,2.0,0.0,0.0
84a8463ffffffff,15.0,0.0,0.0
84a84a3ffffffff,1.0,0.0,0.0
84a854bffffffff,2.0,0.0,0.0
84a8559ffffffff,2.0,0.0,0.0
84a8591ffffffff,106.0,0.0,0.0
84a8593ffffffff,6.0,0.0,0.0
84a8599ffffffff,30.0,0.0,0.0
84a85a1ffffffff,2.0,0.0,0.0
84a85a7ffffffff,5.0,0.0,0.0
84a85b3ffffffff,1.0,0.0,0.0
84a85b7ffffffff,9.0,0.0,0.0
84a85b9ffffffff,2.0,0.0,0.0
84a85c3ffffffff,1.0,0.0,0.0
84a85d3ffffffff,18.0,0.0,0.0
84a8605ffffffff,12.0,0.0,0.0
84a8607ffffffff,6.0,0.0,0.0
84a860dffffffff,2.0,0.0,0.0
84a865bffffffff,3.0,0.0,0.0
84a8691ffffffff,1.0,0.0,0.0
84a86e7ffffffff,2.0,0.0,0.0
84a8701ffffffff,1.0,0.0,0.0
84a871bffffffff,3.0,0.0,0.0
84a8737ffffffff,5.0,0.0,0.0
84a876dffffffff,1.0,0.0,0.0
84a8805ffffffff,14.0,0.0,0.0
84a8807ffffffff,6.0,0.0,0.0
84a8809ffffffff,1.0,0.0,0.0
84a880dffffffff,2.0,0.0,0.0
84a8811ffffffff,112.0,0.0,0.0
84a8815ffffffff,1.0,0.0,0.0
84a881bffffffff,25.0,0.0,0.0
84a882bffffffff,2.0,0.0,0.0
84a882dffffffff,21.0,0.0,0.0
84a883dffffffff,2.0,0.0,0.0
84a8849ffffffff,143.0,0.0,0.0
84a884bffffffff,3.0,0.0,0.0
84a884dffffffff,5.0,0.0,0.0
84a8853ffffffff,4.0,0.0,0.0
84a885bffffffff,3.0,0.0,0.0
84a885dffffffff,2.0,0.0,0.0
84a8867ffffffff,7.0,0.0,0.0
84a8895ffffffff,1.0,0.0,0.0
84a88a9ffffffff,6.0,0.0,0.0
84a88b1ffffffff,3.0,0.0,0.0
84a88bbffffffff,16.0,0.0,0.0
84a88c1ffffffff,3.0,0.0,0.0
84a88c3ffffffff,5.0,0.0,0.0
84a88cdffffffff,4.0,0.0,0.0
84a88ddffffffff,32.0,0.0,0.0
84a88e3ffffffff,1.0,0.0,0.0
84a88e9ffffffff,21.0,0.0,0.0
84a88ebffffffff,9.0,0.0,0.0
84a8911ffffffff,2.0,0.0,0.0
