cell_id,Numenius phaeopus,Numenius phaeopus hudsonicus,Numenius phaeopus phaeopus,Numenius phaeopus alboaxillaris,Numenius phaeopus variegatus/rogachevae,Numenius phaeopus [phaeopus Group]
840e8e1ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
840ec19ffffffff,55.0,0.0,0.0,0.0,0.0,0.0
840ec51ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840ecc9ffffffff,602.0,0.0,0.0,0.0,0.0,0.0
840ee27ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840ee85ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
840eea3ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
840eea7ffffffff,1855.0,6.0,0.0,0.0,0.0,0.0
840eeabffffffff,63.0,0.0,0.0,0.0,0.0,0.0
840eeb5ffffffff,81.0,0.0,0.0,0.0,0.0,0.0
840eebdffffffff,3.0,0.0,0.0,0.0,0.0,0.0
840eee3ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
840ef03ffffffff,11.0,0.0,0.0,0.0,0.0,0.0
