cell_id,Perisoreus canadensis,Perisoreus canadensis [canadensis Group],Perisoreus canadensis capitalis/bicolor,Perisoreus canadensis obscurus/griseus
840ed91ffffffff,2.0,0.0,0.0,0.0
840ed97ffffffff,4.0,2.0,0.0,0.0
840ed9bffffffff,2.0,0.0,0.0,0.0
840ed9dffffffff,2.0,0.0,0.0,0.0
840eda3ffffffff,2.0,0.0,0.0,0.0
840edabffffffff,2.0,0.0,0.0,0.0
840edb1ffffffff,1.0,0.0,0.0,0.0
840edb7ffffffff,2.0,0.0,0.0,0.0
840edb9ffffffff,4.0,0.0,0.0,0.0
840edbbffffffff,4.0,2.0,0.0,0.0
840edbdffffffff,4.0,0.0,0.0,0.0
840edc3ffffffff,4.0,0.0,0.0,0.0
840edc9ffffffff,15.0,0.0,0.0,0.0
840edcbffffffff,2.0,0.0,0.0,0.0
840edcdffffffff,3.0,0.0,0.0,0.0
840edd1ffffffff,2.0,0.0,0.0,0.0
840edd3ffffffff,4.0,0.0,0.0,0.0
840edd5ffffffff,4.0,0.0,0.0,0.0
840ede1ffffffff,3.0,0.0,0.0,0.0
840ede7ffffffff,2.0,0.0,0.0,0.0
840ededffffffff,1.0,0.0,0.0,0.0
840ee13ffffffff,4.0,0.0,0.0,0.0
840ee17ffffffff,10.0,0.0,0.0,0.0
840ee51ffffffff,2.0,0.0,0.0,0.0
840ee81ffffffff,4.0,0.0,0.0,0.0
840ee85ffffffff,9.0,0.0,0.0,0.0
840ee89ffffffff,2.0,0.0,0.0,0.0
840ee8bffffffff,8.0,0.0,0.0,0.0
840ee95ffffffff,2.0,0.0,0.0,0.0
840ee97ffffffff,3.0,0.0,0.0,0.0
840ee99ffffffff,12.0,0.0,0.0,0.0
840ee9dffffffff,7.0,0.0,0.0,0.0
840eea7ffffffff,2692.0,2.0,0.0,0.0
840eeb5ffffffff,155.0,0.0,0.0,0.0
840eeb9ffffffff,5.0,0.0,0.0,0.0
840eebdffffffff,20.0,0.0,0.0,0.0
840eec7ffffffff,2.0,0.0,0.0,0.0
840eec9ffffffff,2.0,0.0,0.0,0.0
840eecdffffffff,13.0,0.0,0.0,0.0
840eed1ffffffff,6.0,0.0,0.0,0.0
840eed3ffffffff,4.0,0.0,0.0,0.0
840eed5ffffffff,15.0,0.0,0.0,0.0
840eee3ffffffff,16.0,0.0,0.0,0.0
840eeebffffffff,22.0,0.0,0.0,0.0
840ef03ffffffff,1.0,0.0,0.0,0.0
840ef1dffffffff,1.0,0.0,0.0,0.0
840ef21ffffffff,1.0,0.0,0.0,0.0
840ef25ffffffff,3.0,0.0,0.0,0.0
840ef2dffffffff,5.0,0.0,0.0,0.0
840ef31ffffffff,5.0,0.0,0.0,0.0
840ef39ffffffff,19.0,0.0,0.0,0.0
840f4bbffffffff,2.0,0.0,0.0,0.0
840f4bdffffffff,10.0,0.0,0.0,0.0
840f5a7ffffffff,9.0,0.0,0.0,0.0
841203dffffffff,3.0,0.0,0.0,0.0
841205bffffffff,4.0,0.0,0.0,0.0
8412087ffffffff,4.0,0.0,0.0,0.0
84120a1ffffffff,21.0,0.0,0.0,0.0
84120b3ffffffff,6.0,0.0,0.0,0.0
84120b7ffffffff,2.0,0.0,0.0,0.0
8412115ffffffff,13.0,0.0,0.0,0.0
8412117ffffffff,2.0,0.0,0.0,0.0
841211dffffffff,4.0,0.0,0.0,0.0
8412133ffffffff,2.0,0.0,0.0,0.0
841213bffffffff,36.0,0.0,0.0,0.0
8412143ffffffff,2.0,0.0,0.0,0.0
8412145ffffffff,8.0,0.0,0.0,0.0
8412147ffffffff,29.0,0.0,0.0,0.0
8412151ffffffff,7.0,0.0,0.0,0.0
8412157ffffffff,5.0,0.0,0.0,0.0
8412159ffffffff,5.0,0.0,0.0,0.0
841215dffffffff,13.0,0.0,0.0,0.0
8412181ffffffff,2.0,0.0,0.0,0.0
8412183ffffffff,2.0,0.0,0.0,0.0
8412185ffffffff,9.0,0.0,0.0,0.0
8412187ffffffff,1.0,0.0,0.0,0.0
841218dffffffff,4.0,0.0,0.0,0.0
84121a1ffffffff,2.0,0.0,0.0,0.0
84121a3ffffffff,6.0,0.0,0.0,0.0
84121a5ffffffff,2.0,0.0,0.0,0.0
84121a7ffffffff,36.0,0.0,0.0,0.0
84121a9ffffffff,23.0,0.0,0.0,0.0
84121abffffffff,19.0,0.0,0.0,0.0
84121adffffffff,8.0,0.0,0.0,0.0
84121b1ffffffff,3.0,0.0,0.0,0.0
84121bbffffffff,17.0,0.0,0.0,0.0
84121bdffffffff,14.0,0.0,0.0,0.0
84121d3ffffffff,1.0,0.0,0.0,0.0
84121d5ffffffff,2.0,0.0,0.0,0.0
84121e1ffffffff,1.0,0.0,0.0,0.0
84121e3ffffffff,68.0,0.0,0.0,0.0
84121e7ffffffff,7.0,0.0,0.0,0.0
84121ebffffffff,4.0,0.0,0.0,0.0
84121edffffffff,2.0,0.0,0.0,0.0
8412221ffffffff,4.0,0.0,0.0,0.0
8412251ffffffff,2.0,0.0,0.0,0.0
841225bffffffff,2.0,0.0,0.0,0.0
8412265ffffffff,5.0,0.0,0.0,0.0
8412291ffffffff,4.0,0.0,0.0,0.0
8412293ffffffff,11.0,0.0,0.0,0.0
8412297ffffffff,2.0,0.0,0.0,0.0
8412299ffffffff,35.0,0.0,0.0,0.0
84122b1ffffffff,2.0,0.0,0.0,0.0
84122b5ffffffff,3.0,0.0,0.0,0.0
84122c7ffffffff,2.0,0.0,0.0,0.0
84122d7ffffffff,9.0,0.0,0.0,0.0
84122e1ffffffff,3.0,0.0,0.0,0.0
