cell_id,Corythornis cristatus,Corythornis cristatus [cristatus Group],Corythornis cristatus thomensis,Corythornis cristatus nais
83bce5fffffffff,2.0,0.0,0.0,0.0
83bce6fffffffff,27.0,9.0,0.0,0.0
83bce8fffffffff,6.0,0.0,0.0,0.0
83bce9fffffffff,4.0,2.0,0.0,0.0
83bceafffffffff,4.0,0.0,0.0,0.0
83bcf0fffffffff,5.0,0.0,0.0,0.0
83bcf1fffffffff,3.0,0.0,0.0,0.0
83bcf2fffffffff,306.0,34.0,0.0,0.0
83bcf3fffffffff,16.0,4.0,0.0,0.0
83bcf4fffffffff,41.0,8.0,0.0,0.0
83bcf5fffffffff,178.0,48.0,0.0,0.0
83bcf6fffffffff,168.0,23.0,0.0,0.0
