cell_id,Tachybaptus ruficollis,Tachybaptus ruficollis [ruficollis Group],Tachybaptus ruficollis [tricolor Group]
826aeffffffffff,2.0,0.0,0.0
826b27fffffffff,2.0,0.0,0.0
826b6ffffffffff,6.0,0.0,0.0
827297fffffffff,4.0,0.0,2.0
8272a7fffffffff,1.0,0.0,0.0
827397fffffffff,20.0,0.0,5.0
82750ffffffffff,127.0,8.0,0.0
82752ffffffffff,6.0,0.0,0.0
827577fffffffff,26.0,0.0,0.0
8275a7fffffffff,2.0,0.0,0.0
827a47fffffffff,226.0,0.0,0.0
827a4ffffffffff,69.0,0.0,0.0
827a5ffffffffff,18.0,0.0,0.0
827a67fffffffff,213.0,21.0,0.0
827a6ffffffffff,1204.0,7.0,0.0
827a77fffffffff,1.0,0.0,0.0
827ac7fffffffff,2.0,2.0,0.0
827acffffffffff,428.0,78.0,0.0
827adffffffffff,15.0,0.0,0.0
827aeffffffffff,35.0,2.0,0.0
827b4ffffffffff,15.0,0.0,0.0
827b5ffffffffff,60.0,0.0,0.0
82828ffffffffff,2.0,0.0,0.0
8282a7fffffffff,10.0,0.0,0.0
8282d7fffffffff,7.0,5.0,0.0
828307fffffffff,2.0,0.0,0.0
828317fffffffff,5.0,1.0,0.0
82831ffffffffff,2.0,0.0,0.0
828327fffffffff,8.0,4.0,0.0
82838ffffffffff,2.0,0.0,0.0
8283affffffffff,3.0,1.0,0.0
828d87fffffffff,6.0,0.0,6.0
828db7fffffffff,1.0,0.0,1.0
829407fffffffff,11.0,0.0,5.0
82942ffffffffff,72.0,0.0,46.0
829507fffffffff,2.0,0.0,2.0
82951ffffffffff,23.0,0.0,14.0
82952ffffffffff,1.0,0.0,1.0
829547fffffffff,49.0,0.0,40.0
829557fffffffff,5.0,0.0,0.0
829607fffffffff,5.0,0.0,0.0
82960ffffffffff,10.0,2.0,0.0
829627fffffffff,47.0,7.0,0.0
82962ffffffffff,14.0,6.0,0.0
829637fffffffff,2.0,2.0,0.0
829677fffffffff,7.0,2.0,0.0
829687fffffffff,1.0,0.0,0.0
829697fffffffff,824.0,88.0,0.0
82969ffffffffff,2.0,2.0,0.0
8296a7fffffffff,18.0,0.0,0.0
8296affffffffff,4.0,0.0,0.0
8296b7fffffffff,32.0,4.0,0.0
829707fffffffff,5.0,0.0,0.0
82970ffffffffff,29.0,15.0,0.0
829717fffffffff,4.0,0.0,0.0
82971ffffffffff,53.0,14.0,0.0
829727fffffffff,2.0,0.0,0.0
82972ffffffffff,84.0,13.0,0.0
829737fffffffff,8.0,5.0,0.0
829747fffffffff,121.0,9.0,0.0
82974ffffffffff,66.0,19.0,0.0
829757fffffffff,141.0,33.0,0.0
82975ffffffffff,76.0,3.0,0.0
829767fffffffff,3.0,0.0,0.0
82976ffffffffff,4.0,4.0,0.0
829777fffffffff,28.0,4.0,0.0
82978ffffffffff,6.0,0.0,0.0
829caffffffffff,3.0,0.0,0.0
82a217fffffffff,2.0,0.0,0.0
82a227fffffffff,2.0,0.0,0.0
82a237fffffffff,13.0,0.0,0.0
82a2a7fffffffff,1.0,0.0,0.0
82a307fffffffff,3.0,0.0,0.0
82a30ffffffffff,4.0,0.0,0.0
82a31ffffffffff,3.0,0.0,0.0
82a337fffffffff,7.0,0.0,0.0
82a377fffffffff,2.0,0.0,0.0
82a39ffffffffff,109.0,0.0,0.0
82a3affffffffff,3.0,0.0,0.0
82ac17fffffffff,51.0,7.0,0.0
82ac87fffffffff,602.0,133.0,0.0
82ac97fffffffff,70.0,16.0,0.0
82ac9ffffffffff,3.0,3.0,0.0
82aca7fffffffff,341.0,86.0,0.0
82acaffffffffff,6.0,2.0,0.0
82acb7fffffffff,7.0,0.0,0.0
82ad17fffffffff,4.0,0.0,0.0
82ad37fffffffff,1636.0,517.0,0.0
82ad87fffffffff,4.0,0.0,0.0
82ad8ffffffffff,10.0,0.0,0.0
82ad9ffffffffff,3.0,0.0,0.0
82ada7fffffffff,7.0,3.0,0.0
82adaffffffffff,5.0,0.0,0.0
82adb7fffffffff,8.0,4.0,0.0
82bc0ffffffffff,10.0,0.0,0.0
82bc1ffffffffff,10.0,0.0,0.0
82bc47fffffffff,223.0,29.0,0.0
82bc4ffffffffff,144.0,28.0,0.0
82bc57fffffffff,13.0,6.0,0.0
82bc6ffffffffff,271.0,73.0,0.0
82bc77fffffffff,103.0,21.0,0.0
82bc8ffffffffff,27.0,3.0,0.0
82bc9ffffffffff,19.0,5.0,0.0
82bcc7fffffffff,755.0,157.0,0.0
82bccffffffffff,36.0,6.0,0.0
82bcd7fffffffff,342.0,64.0,0.0
82bcdffffffffff,391.0,67.0,0.0
82bce7fffffffff,436.0,188.0,0.0
82bceffffffffff,40.0,2.0,0.0
82bcf7fffffffff,960.0,289.0,0.0
