cell_id,Polioptila caerulea,Polioptila caerulea [obscura Group],Polioptila caerulea caerulea,Polioptila caerulea cozumelae
8428c25ffffffff,4.0,0.0,4.0,0.0
8428c27ffffffff,3.0,0.0,1.0,0.0
8428c61ffffffff,2.0,0.0,0.0,0.0
8428d1bffffffff,24.0,0.0,0.0,0.0
8428d55ffffffff,16.0,0.0,4.0,0.0
8428d57ffffffff,2.0,0.0,0.0,0.0
8428d5dffffffff,5.0,0.0,0.0,0.0
8428d69ffffffff,4.0,0.0,0.0,0.0
8428dc9ffffffff,150.0,0.0,60.0,0.0
8428dd1ffffffff,1.0,0.0,0.0,0.0
8428de1ffffffff,9.0,0.0,0.0,0.0
8428de9ffffffff,1.0,0.0,0.0,0.0
8428f01ffffffff,28.0,0.0,2.0,0.0
8428f0bffffffff,3.0,0.0,0.0,0.0
8428f17ffffffff,6.0,3.0,0.0,0.0
8428f19ffffffff,2.0,0.0,0.0,0.0
