cell_id,Dryobates villosus,Dryobates villosus [villosus Group],Dryobates villosus [harrisi Group],Dryobates villosus orius/icastus,Dryobates villosus jardinii/sanctorum,Dryobates villosus extimus
831b8afffffffff,6.0,0.0,0.0,0.0,0.0,0.0
831b92fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
831b95fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
831b96fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
831b98fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
831b99fffffffff,18.0,0.0,0.0,0.0,0.0,0.0
831b9afffffffff,63.0,0.0,0.0,0.0,0.0,0.0
831b9cfffffffff,4.0,0.0,0.0,0.0,0.0,0.0
831b9efffffffff,131.0,0.0,0.0,0.0,0.0,0.0
831bb0fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
831bb3fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
831d20fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
831d24fffffffff,31.0,0.0,0.0,0.0,0.0,0.0
831d25fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832600fffffffff,69.0,0.0,0.0,0.0,0.0,0.0
832601fffffffff,578.0,112.0,0.0,0.0,0.0,0.0
832602fffffffff,43.0,0.0,0.0,0.0,0.0,0.0
832603fffffffff,383.0,51.0,0.0,0.0,0.0,0.0
832604fffffffff,150.0,0.0,0.0,0.0,0.0,0.0
832605fffffffff,364.0,1.0,0.0,0.0,0.0,0.0
832606fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
832608fffffffff,509.0,24.0,0.0,0.0,0.0,0.0
832609fffffffff,74.0,0.0,0.0,0.0,0.0,0.0
83260afffffffff,737.0,0.0,0.0,0.0,0.0,0.0
83260bfffffffff,635.0,45.0,0.0,0.0,0.0,0.0
83260cfffffffff,40.0,1.0,0.0,0.0,0.0,0.0
83260dfffffffff,632.0,6.0,0.0,0.0,0.0,0.0
83260efffffffff,569.0,152.0,0.0,0.0,0.0,0.0
832610fffffffff,18.0,0.0,0.0,0.0,0.0,0.0
832611fffffffff,127.0,2.0,0.0,0.0,0.0,0.0
832612fffffffff,196.0,9.0,0.0,0.0,0.0,0.0
832613fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
832615fffffffff,14.0,0.0,0.0,0.0,0.0,0.0
832616fffffffff,89.0,0.0,0.0,0.0,0.0,0.0
832618fffffffff,102.0,10.0,0.0,0.0,0.0,0.0
832619fffffffff,37.0,1.0,0.0,0.0,0.0,0.0
83261afffffffff,48.0,14.0,0.0,0.0,0.0,0.0
83261bfffffffff,78.0,3.0,0.0,0.0,0.0,0.0
83261cfffffffff,13.0,0.0,0.0,0.0,0.0,0.0
83261dfffffffff,26.0,1.0,0.0,0.0,0.0,0.0
