cell_id,Catharus guttatus,Catharus guttatus [guttatus Group],Catharus guttatus [auduboni Group],Catharus guttatus faxoni/crymophilus
8426acbffffffff,2.0,0.0,0.0,0.0
8426ad1ffffffff,3.0,0.0,0.0,3.0
8426ae3ffffffff,4.0,0.0,0.0,0.0
8426ae7ffffffff,4.0,0.0,0.0,0.0
8426b0bffffffff,2.0,0.0,0.0,0.0
8426b23ffffffff,2.0,0.0,0.0,0.0
8426b37ffffffff,4.0,0.0,0.0,0.0
8426b69ffffffff,2.0,0.0,0.0,0.0
8426b6dffffffff,6.0,0.0,0.0,0.0
8426c1dffffffff,2.0,0.0,0.0,0.0
8426c49ffffffff,2.0,0.0,0.0,0.0
8426c87ffffffff,5.0,0.0,0.0,0.0
8426c97ffffffff,2.0,0.0,0.0,0.0
8426cd1ffffffff,3.0,0.0,0.0,0.0
8426d15ffffffff,3.0,0.0,0.0,0.0
8426d1bffffffff,2.0,0.0,0.0,0.0
8426d25ffffffff,2.0,0.0,0.0,0.0
8426d35ffffffff,7.0,0.0,0.0,0.0
8426d39ffffffff,8.0,0.0,0.0,0.0
8426d45ffffffff,1.0,0.0,0.0,0.0
8426d4bffffffff,12.0,0.0,1.0,0.0
8426d5dffffffff,2.0,0.0,0.0,0.0
8426d67ffffffff,2.0,0.0,0.0,0.0
8426d6bffffffff,2.0,0.0,0.0,0.0
8426d95ffffffff,1.0,0.0,0.0,0.0
8426db3ffffffff,2.0,0.0,0.0,2.0
8426dbbffffffff,2.0,0.0,0.0,0.0
8426de7ffffffff,3.0,0.0,0.0,0.0
8426de9ffffffff,5.0,0.0,0.0,0.0
8426dedffffffff,1.0,0.0,0.0,0.0
8426e21ffffffff,5.0,0.0,0.0,0.0
8426e23ffffffff,2.0,0.0,0.0,0.0
8426e5bffffffff,4.0,0.0,0.0,0.0
8426e69ffffffff,2.0,0.0,0.0,0.0
8426e6dffffffff,2.0,0.0,0.0,0.0
8426ed1ffffffff,2.0,0.0,0.0,0.0
8426ed3ffffffff,5.0,0.0,0.0,4.0
8426ed7ffffffff,5.0,0.0,0.0,0.0
