cell_id,Nycticorax nycticorax,Nycticorax nycticorax nycticorax,Nycticorax nycticorax hoactli,Nycticorax nycticorax obscurus,Nycticorax nycticorax falklandicus
832615fffffffff,9.0,0.0,0.0,0.0,0.0
832618fffffffff,5.0,0.0,0.0,0.0,0.0
832619fffffffff,21.0,0.0,0.0,0.0,0.0
83261bfffffffff,9.0,0.0,0.0,0.0,0.0
83261cfffffffff,4.0,0.0,0.0,0.0,0.0
83261dfffffffff,14.0,0.0,0.0,0.0,0.0
832620fffffffff,90.0,0.0,0.0,0.0,0.0
832621fffffffff,9.0,0.0,0.0,0.0,0.0
832622fffffffff,30.0,0.0,0.0,0.0,0.0
832623fffffffff,17.0,0.0,0.0,0.0,0.0
832624fffffffff,6.0,0.0,0.0,0.0,0.0
832626fffffffff,97.0,0.0,0.0,0.0,0.0
832628fffffffff,12.0,0.0,0.0,0.0,0.0
832629fffffffff,9.0,0.0,0.0,0.0,0.0
83262afffffffff,5.0,0.0,0.0,0.0,0.0
83262bfffffffff,2.0,0.0,0.0,0.0,0.0
83262cfffffffff,476.0,0.0,0.0,0.0,0.0
83262dfffffffff,9.0,0.0,0.0,0.0,0.0
83262efffffffff,16.0,0.0,0.0,0.0,0.0
832630fffffffff,57.0,0.0,0.0,0.0,0.0
832631fffffffff,25.0,0.0,0.0,0.0,0.0
832633fffffffff,31.0,0.0,0.0,0.0,0.0
832634fffffffff,737.0,0.0,0.0,0.0,0.0
832635fffffffff,63.0,0.0,0.0,0.0,0.0
832636fffffffff,111.0,0.0,0.0,0.0,0.0
832640fffffffff,452.0,0.0,0.0,0.0,0.0
832641fffffffff,66.0,0.0,0.0,0.0,0.0
832642fffffffff,2.0,0.0,0.0,0.0,0.0
832643fffffffff,100.0,0.0,0.0,0.0,0.0
832645fffffffff,4.0,0.0,0.0,0.0,0.0
832646fffffffff,386.0,0.0,0.0,0.0,0.0
832648fffffffff,21.0,0.0,0.0,0.0,0.0
832649fffffffff,598.0,0.0,0.0,0.0,0.0
