cell_id,Thamnophilus doliatus,Thamnophilus doliatus [doliatus Group],Thamnophilus doliatus capistratus
83a940fffffffff,17.0,0.0,0.0
83a941fffffffff,522.0,0.0,0.0
83a942fffffffff,23.0,0.0,0.0
83a943fffffffff,122.0,0.0,0.0
83a945fffffffff,116.0,0.0,0.0
83a946fffffffff,2.0,0.0,0.0
83a949fffffffff,6.0,0.0,0.0
83a94afffffffff,2.0,0.0,0.0
83a94bfffffffff,4.0,0.0,0.0
83a94cfffffffff,85.0,0.0,0.0
83a94dfffffffff,39.0,0.0,0.0
83a94efffffffff,1652.0,0.0,0.0
83a950fffffffff,3.0,0.0,0.0
83a951fffffffff,8.0,0.0,0.0
83a953fffffffff,249.0,8.0,0.0
83a955fffffffff,2.0,0.0,0.0
83a959fffffffff,10.0,0.0,0.0
83a95afffffffff,18.0,0.0,0.0
83a95cfffffffff,23.0,0.0,0.0
83a95dfffffffff,276.0,0.0,0.0
83a95efffffffff,95.0,0.0,0.0
83a961fffffffff,66.0,0.0,0.0
83a968fffffffff,10.0,0.0,0.0
83a969fffffffff,2.0,0.0,0.0
83a96afffffffff,172.0,0.0,0.0
83a96efffffffff,47.0,0.0,0.0
83b262fffffffff,8.0,0.0,0.0
83b263fffffffff,2.0,0.0,0.0
83b266fffffffff,5.0,0.0,0.0
83b275fffffffff,49.0,0.0,0.0
83b324fffffffff,1.0,0.0,0.0
83b325fffffffff,3.0,0.0,0.0
83b340fffffffff,9.0,0.0,0.0
83b341fffffffff,2.0,0.0,0.0
83b342fffffffff,9.0,0.0,0.0
83b343fffffffff,14.0,0.0,0.0
83b344fffffffff,22.0,0.0,0.0
83b348fffffffff,4.0,0.0,0.0
83b349fffffffff,4.0,0.0,0.0
83b34afffffffff,2.0,0.0,0.0
83b34cfffffffff,8.0,0.0,0.0
83b34dfffffffff,97.0,0.0,0.0
83b358fffffffff,2.0,0.0,0.0
83b360fffffffff,15.0,0.0,0.0
83b361fffffffff,16.0,0.0,0.0
83b362fffffffff,18.0,0.0,0.0
83b363fffffffff,15.0,0.0,0.0
83b365fffffffff,10.0,0.0,0.0
83b366fffffffff,62.0,0.0,0.0
83b368fffffffff,26.0,0.0,0.0
83b369fffffffff,28.0,0.0,0.0
83b36afffffffff,2.0,0.0,0.0
83b36bfffffffff,17.0,0.0,0.0
83b36dfffffffff,200.0,0.0,0.0
