cell_id,Parus cinereus,Parus cinereus [cinereus Group],Parus cinereus [minor Group],Parus cinereus commixtus,Parus cinereus amamiensis,Parus cinereus okinawae,Parus cinereus nigriloris
842ecdbffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
842ed53ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
842ed95ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
842eda5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
842eeb3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
842ef47ffffffff,6.0,0.0,6.0,0.0,0.0,0.0,0.0
842ef59ffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
842ef61ffffffff,6.0,0.0,6.0,0.0,0.0,0.0,0.0
842ef67ffffffff,4.0,0.0,4.0,0.0,0.0,0.0,0.0
842f433ffffffff,17.0,0.0,17.0,0.0,0.0,0.0,0.0
842f587ffffffff,33.0,0.0,33.0,0.0,0.0,0.0,0.0
842f595ffffffff,6.0,0.0,6.0,0.0,0.0,0.0,0.0
842f5a1ffffffff,87.0,0.0,87.0,0.0,0.0,0.0,0.0
842f5a3ffffffff,559.0,0.0,559.0,0.0,0.0,0.0,0.0
842f5a5ffffffff,18.0,0.0,18.0,0.0,0.0,0.0,0.0
842f5a7ffffffff,21.0,0.0,21.0,0.0,0.0,0.0,0.0
842f5a9ffffffff,8.0,0.0,8.0,0.0,0.0,0.0,0.0
842f5abffffffff,361.0,0.0,361.0,0.0,0.0,0.0,0.0
842f5adffffffff,16.0,0.0,16.0,0.0,0.0,0.0,0.0
842f5b1ffffffff,48.0,0.0,48.0,0.0,0.0,0.0,0.0
842f5b3ffffffff,26.0,0.0,26.0,0.0,0.0,0.0,0.0
842f5b5ffffffff,38.0,0.0,38.0,0.0,0.0,0.0,0.0
842f5b7ffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0
842f5b9ffffffff,83.0,0.0,83.0,0.0,0.0,0.0,0.0
842f5bbffffffff,23.0,0.0,23.0,0.0,0.0,0.0,0.0
842f5bdffffffff,374.0,0.0,374.0,0.0,0.0,0.0,0.0
842f5d7ffffffff,70.0,0.0,70.0,0.0,0.0,0.0,0.0
8430005ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
843000dffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8430045ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8430051ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8430055ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8430063ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8430067ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8430103ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
