cell_id,Dendrocopos major,Dendrocopos major canariensis/thanneri,Dendrocopos major numidus/mauritanus,Dendrocopos major [major Group],Dendrocopos major poelzami,Dendrocopos major japonicus,Dendrocopos major cabanisi/stresemanni
8410161ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8410165ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8410167ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8410203ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8410231ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8410239ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
841023dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84108dbffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8410a1dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8410a2dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8410a81ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8410b39ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8410c05ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8410c07ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8410c21ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8410c23ffffffff,111.0,0.0,0.0,0.0,0.0,0.0,0.0
8410c27ffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
8410c35ffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
8410d13ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8410d21ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8410dc1ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8410dc9ffffffff,69.0,0.0,0.0,0.0,0.0,0.0,0.0
8410dcdffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
8410ee1ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8410f01ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8410f0dffffffff,7.0,0.0,0.0,2.0,0.0,0.0,0.0
8410f1bffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8410f29ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
8410f69ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8411001ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8411009ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
841100dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8411015ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8411031ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
8411041ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
8411043ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8411045ffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
8411049ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8411051ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8411055ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8411059ffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
841105bffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
841105dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8411061ffffffff,96.0,0.0,0.0,0.0,0.0,0.0,0.0
