cell_id,Cyanocitta stelleri,Cyanocitta stelleri [stelleri Group],Cyanocitta stelleri annectens,Cyanocitta stelleri [diademata Group],Cyanocitta stelleri [coronata Group]
8448c67ffffffff,17.0,0.0,0.0,0.0,0.0
8448c69ffffffff,2.0,0.0,0.0,0.0,0.0
8448c6dffffffff,4.0,0.0,0.0,2.0,0.0
8448c99ffffffff,65.0,0.0,0.0,64.0,0.0
8448cc1ffffffff,2.0,0.0,0.0,0.0,0.0
8448cc5ffffffff,2.0,0.0,0.0,0.0,0.0
8448ccbffffffff,2.0,0.0,0.0,0.0,0.0
8448cd1ffffffff,2.0,0.0,0.0,0.0,0.0
8448cd3ffffffff,16.0,0.0,0.0,16.0,0.0
8448cd9ffffffff,130.0,0.0,0.0,49.0,0.0
8448cdbffffffff,6.0,0.0,0.0,0.0,0.0
8448cddffffffff,3.0,0.0,0.0,0.0,0.0
8448d33ffffffff,1.0,0.0,0.0,0.0,0.0
8448d4bffffffff,11.0,0.0,0.0,2.0,0.0
8448d53ffffffff,2.0,0.0,0.0,0.0,0.0
8448d5dffffffff,2.0,0.0,0.0,0.0,0.0
8448d83ffffffff,16.0,0.0,0.0,12.0,0.0
8448d89ffffffff,20.0,0.0,0.0,20.0,0.0
8448da5ffffffff,2.0,0.0,0.0,0.0,0.0
8448dc3ffffffff,2.0,0.0,0.0,0.0,0.0
8448e37ffffffff,1.0,0.0,0.0,0.0,0.0
8448e85ffffffff,144.0,0.0,0.0,35.0,0.0
8448e87ffffffff,2.0,0.0,0.0,0.0,0.0
8448e8dffffffff,291.0,0.0,0.0,34.0,0.0
8448ea1ffffffff,19.0,0.0,0.0,0.0,0.0
8448ea5ffffffff,1.0,0.0,0.0,1.0,0.0
8448eabffffffff,40.0,0.0,0.0,11.0,0.0
8448eadffffffff,15.0,0.0,0.0,0.0,0.0
8448eb1ffffffff,21.0,0.0,0.0,2.0,0.0
8448eb3ffffffff,52.0,0.0,0.0,23.0,0.0
8448eb5ffffffff,2.0,0.0,0.0,0.0,0.0
8448eb7ffffffff,3.0,0.0,0.0,0.0,0.0
8448ebbffffffff,1.0,0.0,0.0,0.0,0.0
8448ec7ffffffff,2.0,0.0,0.0,0.0,0.0
8448ee3ffffffff,65.0,0.0,0.0,11.0,0.0
8448ee9ffffffff,4.0,0.0,0.0,2.0,0.0
8448eebffffffff,26.0,0.0,0.0,5.0,0.0
8448f21ffffffff,38.0,0.0,0.0,2.0,0.0
8448f31ffffffff,2.0,0.0,0.0,0.0,0.0
8449801ffffffff,2.0,0.0,0.0,0.0,2.0
8449829ffffffff,6.0,0.0,0.0,0.0,6.0
844983dffffffff,2.0,0.0,0.0,0.0,0.0
844988dffffffff,3.0,0.0,0.0,0.0,0.0
844990bffffffff,2.0,0.0,0.0,0.0,0.0
8449945ffffffff,2.0,0.0,0.0,0.0,0.0
8449963ffffffff,3.0,0.0,0.0,0.0,0.0
84499c9ffffffff,3.0,0.0,0.0,0.0,3.0
8449a85ffffffff,2.0,0.0,0.0,0.0,0.0
8449b19ffffffff,13.0,0.0,0.0,0.0,13.0
8449b1dffffffff,2.0,0.0,0.0,0.0,2.0
8449b57ffffffff,2.0,0.0,0.0,0.0,2.0
846d217ffffffff,2.0,0.0,0.0,0.0,0.0
846d23bffffffff,2.0,0.0,0.0,0.0,0.0
846d281ffffffff,11.0,0.0,0.0,0.0,8.0
846d283ffffffff,8.0,0.0,0.0,0.0,4.0
846d28dffffffff,13.0,0.0,0.0,0.0,0.0
846d291ffffffff,5.0,0.0,0.0,0.0,0.0
846d299ffffffff,5.0,0.0,0.0,0.0,0.0
846d29bffffffff,2.0,0.0,0.0,0.0,2.0
846d2b9ffffffff,2.0,0.0,0.0,0.0,0.0
846d337ffffffff,2.0,0.0,0.0,0.0,0.0
846d643ffffffff,3.0,0.0,0.0,0.0,3.0
846d65dffffffff,1.0,0.0,0.0,0.0,1.0
846d749ffffffff,1.0,0.0,0.0,0.0,0.0
