cell_id,Egretta garzetta,Egretta garzetta garzetta,Egretta garzetta immaculata,Egretta garzetta dimorpha
83315bfffffffff,2.0,0.0,0.0,0.0
83316cfffffffff,1.0,0.0,0.0,0.0
83316efffffffff,7.0,0.0,0.0,0.0
833181fffffffff,48.0,0.0,0.0,0.0
833182fffffffff,4.0,0.0,0.0,0.0
833185fffffffff,360.0,23.0,0.0,0.0
833188fffffffff,40.0,1.0,0.0,0.0
833189fffffffff,1.0,0.0,0.0,0.0
83318cfffffffff,22.0,0.0,0.0,0.0
83318dfffffffff,265.0,11.0,0.0,0.0
833191fffffffff,2.0,0.0,0.0,0.0
833192fffffffff,3.0,0.0,0.0,0.0
83319dfffffffff,2.0,0.0,0.0,0.0
8331a8fffffffff,68.0,8.0,0.0,0.0
8331aafffffffff,757.0,46.0,0.0,0.0
8331abfffffffff,11.0,0.0,0.0,0.0
8331aefffffffff,1.0,0.0,0.0,0.0
833422fffffffff,28.0,0.0,0.0,0.0
833426fffffffff,303.0,0.0,0.0,0.0
833434fffffffff,184.0,0.0,0.0,0.0
833441fffffffff,79.0,0.0,0.0,0.0
833443fffffffff,8.0,0.0,0.0,0.0
83344cfffffffff,386.0,0.0,0.0,0.0
833460fffffffff,3.0,0.0,0.0,0.0
833464fffffffff,2.0,0.0,0.0,0.0
833466fffffffff,81.0,0.0,0.0,0.0
833469fffffffff,515.0,0.0,0.0,0.0
83346afffffffff,77.0,0.0,0.0,0.0
83346bfffffffff,122.0,0.0,0.0,0.0
83346dfffffffff,12.0,0.0,0.0,0.0
83351afffffffff,6.0,0.0,0.0,0.0
83351bfffffffff,562.0,0.0,0.0,0.0
8335a8fffffffff,36.0,0.0,0.0,0.0
8335a9fffffffff,258.0,0.0,0.0,0.0
833810fffffffff,1.0,0.0,0.0,0.0
833816fffffffff,46.0,0.0,0.0,0.0
833820fffffffff,197.0,5.0,0.0,0.0
833824fffffffff,256.0,30.0,0.0,0.0
833825fffffffff,948.0,33.0,0.0,0.0
833826fffffffff,222.0,23.0,0.0,0.0
833832fffffffff,5.0,0.0,0.0,0.0
833834fffffffff,2.0,0.0,0.0,0.0
833835fffffffff,4.0,0.0,0.0,0.0
833836fffffffff,58.0,16.0,0.0,0.0
833843fffffffff,12.0,6.0,0.0,0.0
83384afffffffff,27.0,0.0,0.0,0.0
83384cfffffffff,5.0,0.0,0.0,0.0
83384dfffffffff,1.0,0.0,0.0,0.0
