cell_id,Anthus petrosus,Anthus petrosus petrosus/kleinschmidti,Anthus petrosus littoralis
841f715ffffffff,3.0,0.0,0.0
841f725ffffffff,90.0,0.0,0.0
841f727ffffffff,1.0,0.0,0.0
841f72dffffffff,26.0,0.0,0.0
841f751ffffffff,1.0,0.0,0.0
841f757ffffffff,4.0,0.0,0.0
841fa4dffffffff,3.0,0.0,0.0
843920dffffffff,6.0,0.0,0.0
8439221ffffffff,2.0,0.0,0.0
8439241ffffffff,3.0,0.0,0.0
8439243ffffffff,6.0,0.0,0.0
8439247ffffffff,1.0,0.0,0.0
8439259ffffffff,5.0,0.0,0.0
843925dffffffff,4.0,0.0,0.0
84392d9ffffffff,5.0,0.0,0.0
84392dbffffffff,207.0,0.0,0.0
