cell_id,Turdus migratorius,Turdus migratorius nigrideus,Turdus migratorius [migratorius Group],Turdus migratorius confinis
832aa6fffffffff,20.0,0.0,16.0,0.0
832aa8fffffffff,51.0,0.0,10.0,0.0
832aa9fffffffff,8.0,0.0,0.0,0.0
832aaafffffffff,29.0,0.0,7.0,0.0
832aabfffffffff,4.0,0.0,0.0,0.0
832aacfffffffff,8944.0,0.0,8.0,0.0
832aadfffffffff,143.0,0.0,53.0,0.0
832aaefffffffff,48.0,0.0,0.0,0.0
832ab0fffffffff,243.0,0.0,235.0,0.0
832ab1fffffffff,10.0,0.0,0.0,0.0
832ab2fffffffff,2235.0,0.0,958.0,0.0
832ab3fffffffff,7.0,0.0,0.0,0.0
832ab4fffffffff,1316.0,0.0,1250.0,0.0
832ab5fffffffff,559.0,0.0,506.0,0.0
832ab6fffffffff,120.0,0.0,39.0,0.0
832ad1fffffffff,3.0,0.0,0.0,0.0
832ad2fffffffff,5.0,0.0,0.0,0.0
832ad3fffffffff,6.0,0.0,0.0,0.0
832ad6fffffffff,2.0,0.0,0.0,0.0
832af2fffffffff,4.0,0.0,4.0,0.0
832af3fffffffff,2.0,0.0,0.0,0.0
832af6fffffffff,15.0,1.0,0.0,0.0
832b01fffffffff,7.0,0.0,0.0,0.0
832b05fffffffff,2.0,0.0,0.0,0.0
832b0afffffffff,7.0,0.0,0.0,0.0
832b0cfffffffff,2.0,0.0,0.0,0.0
832b10fffffffff,7.0,0.0,0.0,0.0
832b12fffffffff,44.0,0.0,0.0,0.0
832b14fffffffff,10.0,0.0,0.0,0.0
832b16fffffffff,220.0,0.0,56.0,0.0
832b18fffffffff,5.0,0.0,3.0,0.0
832b1afffffffff,30.0,2.0,3.0,0.0
832b1cfffffffff,2.0,0.0,0.0,0.0
832b1dfffffffff,3.0,0.0,0.0,0.0
832b23fffffffff,2.0,0.0,0.0,0.0
832b24fffffffff,2.0,0.0,0.0,0.0
832b25fffffffff,43.0,0.0,0.0,0.0
832b32fffffffff,4.0,0.0,0.0,0.0
832b80fffffffff,2.0,0.0,0.0,0.0
832b81fffffffff,93.0,0.0,77.0,0.0
832b82fffffffff,22.0,0.0,20.0,0.0
832b83fffffffff,256.0,0.0,100.0,0.0
832b85fffffffff,31.0,0.0,9.0,0.0
832b88fffffffff,206.0,0.0,0.0,0.0
832b89fffffffff,414.0,0.0,1.0,0.0
832b8afffffffff,9.0,0.0,0.0,0.0
832b8bfffffffff,50.0,0.0,0.0,0.0
832b8cfffffffff,56.0,0.0,1.0,0.0
832b8dfffffffff,157.0,0.0,4.0,0.0
832b8efffffffff,1104.0,0.0,1089.0,0.0
832b90fffffffff,14.0,0.0,3.0,0.0
832b91fffffffff,28.0,0.0,18.0,0.0
832b92fffffffff,3.0,0.0,3.0,0.0
832b93fffffffff,37.0,0.0,11.0,0.0
832b94fffffffff,17.0,0.0,13.0,0.0
832b96fffffffff,74.0,0.0,66.0,0.0
832b98fffffffff,1188.0,0.0,1124.0,0.0
832b99fffffffff,179.0,0.0,144.0,0.0
832b9afffffffff,114.0,0.0,110.0,0.0
832b9bfffffffff,694.0,0.0,639.0,0.0
832b9cfffffffff,338.0,0.0,307.0,0.0
832b9dfffffffff,3520.0,0.0,3442.0,0.0
832b9efffffffff,21.0,0.0,21.0,0.0
832ba0fffffffff,23.0,0.0,0.0,0.0
832ba1fffffffff,12.0,0.0,12.0,0.0
832ba5fffffffff,95.0,0.0,1.0,0.0
832ba8fffffffff,577.0,0.0,426.0,0.0
832ba9fffffffff,10.0,0.0,0.0,0.0
832baafffffffff,258.0,0.0,44.0,0.0
832babfffffffff,64.0,0.0,45.0,0.0
832bacfffffffff,50.0,0.0,27.0,0.0
832badfffffffff,4.0,0.0,0.0,0.0
832baefffffffff,30.0,0.0,12.0,0.0
832bb3fffffffff,92.0,0.0,2.0,0.0
832bb6fffffffff,4.0,0.0,4.0,0.0
833426fffffffff,1.0,0.0,0.0,0.0
8335a8fffffffff,4.0,0.0,0.0,0.0
834412fffffffff,4.0,0.0,0.0,0.0
83441afffffffff,14.0,0.0,0.0,0.0
83441efffffffff,33.0,0.0,0.0,0.0
834440fffffffff,42.0,0.0,0.0,0.0
834441fffffffff,1.0,0.0,0.0,0.0
834442fffffffff,1.0,0.0,0.0,0.0
834443fffffffff,3.0,0.0,0.0,0.0
834445fffffffff,13.0,0.0,0.0,0.0
834446fffffffff,30.0,0.0,0.0,0.0
83444cfffffffff,40.0,0.0,0.0,0.0
83444dfffffffff,1.0,0.0,0.0,0.0
83444efffffffff,1.0,0.0,0.0,0.0
834450fffffffff,17.0,0.0,0.0,0.0
834452fffffffff,3.0,0.0,0.0,0.0
834455fffffffff,33.0,0.0,0.0,0.0
83445cfffffffff,2.0,0.0,0.0,0.0
83445dfffffffff,2.0,0.0,0.0,0.0
834463fffffffff,7.0,0.0,0.0,0.0
834469fffffffff,2.0,0.0,0.0,0.0
83446bfffffffff,4.0,0.0,0.0,0.0
83446cfffffffff,46.0,0.0,0.0,0.0
83446dfffffffff,37.0,0.0,0.0,0.0
83446efffffffff,61.0,0.0,0.0,0.0
834486fffffffff,1.0,0.0,0.0,0.0
8344a1fffffffff,2.0,0.0,0.0,0.0
8344a3fffffffff,9.0,0.0,0.0,0.0
8344a8fffffffff,4.0,0.0,2.0,0.0
8344a9fffffffff,16.0,0.0,0.0,0.0
8344abfffffffff,5.0,0.0,0.0,0.0
8344acfffffffff,4.0,0.0,0.0,0.0
8344adfffffffff,4.0,0.0,1.0,0.0
8344aefffffffff,5.0,0.0,3.0,0.0
8344c1fffffffff,3.0,0.0,0.0,0.0
