cell_id,Calidris alpina,Calidris alpina pacifica/arcticola,Calidris alpina hudsonia,Calidris alpina arctica,Calidris alpina schinzii,Calidris alpina alpina/centralis,Calidris alpina [sakhalina Group]
822b87fffffffff,898.0,0.0,24.0,0.0,0.0,0.0,0.0
822b8ffffffffff,1057.0,0.0,0.0,0.0,0.0,0.0,0.0
822b97fffffffff,154.0,0.0,0.0,0.0,0.0,0.0,0.0
822b9ffffffffff,5054.0,0.0,57.0,0.0,0.0,0.0,0.0
822ba7fffffffff,907.0,0.0,0.0,0.0,0.0,0.0,0.0
822baffffffffff,2300.0,0.0,0.0,0.0,0.0,0.0,0.0
822bb7fffffffff,172.0,0.0,0.0,0.0,0.0,0.0,0.0
822c07fffffffff,107.0,0.0,0.0,0.0,0.0,0.0,0.0
822c0ffffffffff,73.0,0.0,0.0,0.0,0.0,0.0,0.0
822c17fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
822c27fffffffff,133.0,0.0,0.0,0.0,0.0,0.0,0.0
822c2ffffffffff,63.0,0.0,0.0,0.0,0.0,0.0,0.0
822c47fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
822c4ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
822c6ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
822c77fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
822c87fffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
822c8ffffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
822c97fffffffff,679.0,0.0,0.0,0.0,0.0,0.0,0.0
822c9ffffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0
822caffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
822cc7fffffffff,216.0,0.0,0.0,0.0,0.0,0.0,0.0
822cd7fffffffff,62.0,0.0,0.0,0.0,0.0,0.0,0.0
822cdffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
822ce7fffffffff,98.0,0.0,0.0,0.0,0.0,0.0,0.0
822cf7fffffffff,214.0,0.0,0.0,0.0,0.0,0.0,0.0
822d07fffffffff,79.0,0.0,0.0,0.0,0.0,0.0,0.0
822d17fffffffff,47.0,0.0,0.0,0.0,0.0,0.0,0.0
822d27fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
822d2ffffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
822d37fffffffff,238.0,0.0,0.0,0.0,0.0,0.0,0.0
822d5ffffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
822d67fffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
822d77fffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0
822d97fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
822da7fffffffff,422.0,0.0,0.0,0.0,0.0,0.0,0.0
822daffffffffff,74.0,0.0,0.0,0.0,0.0,0.0,0.0
822db7fffffffff,1196.0,0.0,0.0,0.0,0.0,11.0,0.0
822e0ffffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
822e17fffffffff,30.0,0.0,0.0,0.0,0.0,0.0,0.0
822e1ffffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
822e2ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
822e47fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
822e67fffffffff,45.0,0.0,0.0,0.0,0.0,0.0,0.0
822e6ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
822e9ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
822eaffffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
822ec7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
822ed7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
822f5ffffffffff,195.0,0.0,0.0,0.0,0.0,0.0,0.0
823017fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
82301ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
823027fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
82302ffffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
823037fffffffff,61.0,0.0,0.0,0.0,0.0,0.0,0.0
823087fffffffff,226.0,0.0,0.0,0.0,0.0,0.0,0.0
82309ffffffffff,608.0,0.0,0.0,0.0,0.0,0.0,0.0
8230a7fffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
8230c7fffffffff,133.0,4.0,0.0,0.0,0.0,0.0,0.0
8230cffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8230d7fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
8230dffffffffff,59.0,0.0,0.0,0.0,0.0,0.0,0.0
8230e7fffffffff,244.0,11.0,0.0,0.0,0.0,0.0,0.0
8230effffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
82316ffffffffff,33.0,0.0,0.0,0.0,0.0,0.0,0.0
