cell_id,Sula leucogaster,Sula leucogaster leucogaster,Sula leucogaster plotus
8472cb9ffffffff,2.0,0.0,0.0
8472ce3ffffffff,1.0,0.0,0.0
8472dcbffffffff,2.0,0.0,0.0
84731b1ffffffff,1.0,0.0,0.0
84731bbffffffff,2.0,0.0,0.0
84731bdffffffff,2.0,0.0,0.0
84738e9ffffffff,2.0,0.0,0.0
8473907ffffffff,4.0,0.0,0.0
847390bffffffff,4.0,0.0,0.0
847390dffffffff,1.0,0.0,0.0
84739a1ffffffff,3.0,0.0,0.0
84739a3ffffffff,45.0,0.0,0.0
84739abffffffff,16.0,0.0,0.0
84739adffffffff,9.0,0.0,0.0
84739b5ffffffff,4.0,0.0,0.0
84739bdffffffff,4.0,0.0,0.0
84739e3ffffffff,2.0,0.0,0.0
8473a83ffffffff,6.0,0.0,0.0
8473ab5ffffffff,2.0,0.0,0.0
8473b65ffffffff,2.0,0.0,0.0
8476861ffffffff,1.0,0.0,1.0
8476867ffffffff,1.0,0.0,0.0
8476869ffffffff,1.0,0.0,0.0
84768a9ffffffff,2.0,0.0,0.0
8476935ffffffff,1.0,0.0,0.0
8476937ffffffff,1.0,0.0,0.0
847693bffffffff,1.0,0.0,0.0
847699bffffffff,1.0,0.0,0.0
847699dffffffff,1.0,0.0,0.0
84769d1ffffffff,4.0,0.0,0.0
84769d7ffffffff,3.0,0.0,0.0
84769ddffffffff,3.0,0.0,0.0
8476b13ffffffff,1.0,0.0,0.0
8476b45ffffffff,5.0,0.0,0.0
8476b59ffffffff,3.0,0.0,2.0
847709bffffffff,1.0,0.0,0.0
8477155ffffffff,1.0,0.0,0.0
8477813ffffffff,1.0,0.0,0.0
84778a9ffffffff,1.0,0.0,1.0
