cell_id,Dendrocygna autumnalis,Dendrocygna autumnalis fulgens,Dendrocygna autumnalis autumnalis
83489afffffffff,18.0,0.0,0.0
83489bfffffffff,14.0,0.0,0.0
83489cfffffffff,20.0,6.0,0.0
83489efffffffff,90.0,0.0,0.0
8348a2fffffffff,1.0,0.0,0.0
8348abfffffffff,2.0,0.0,0.0
8348b1fffffffff,2.0,1.0,0.0
8348b2fffffffff,13.0,1.0,0.0
8348b3fffffffff,154.0,10.0,0.0
8348c5fffffffff,18.0,5.0,0.0
8348c6fffffffff,1.0,0.0,0.0
8348d0fffffffff,4.0,0.0,0.0
8348d1fffffffff,3.0,0.0,0.0
8348e8fffffffff,139.0,2.0,0.0
8348e9fffffffff,110.0,0.0,0.0
8348eafffffffff,22.0,0.0,0.0
8348ebfffffffff,28.0,0.0,0.0
8348ecfffffffff,77.0,0.0,0.0
8348eefffffffff,103.0,0.0,0.0
8348f2fffffffff,8.0,0.0,0.0
8348f6fffffffff,2.0,0.0,0.0
834983fffffffff,2.0,0.0,0.0
834986fffffffff,5.0,0.0,0.0
834990fffffffff,4.0,0.0,0.0
834993fffffffff,2.0,0.0,0.0
834994fffffffff,4.0,0.0,0.0
834995fffffffff,35.0,2.0,0.0
834996fffffffff,37.0,8.0,0.0
83499afffffffff,1.0,0.0,0.0
8349a9fffffffff,8.0,0.0,0.0
8349b3fffffffff,3.0,0.0,0.0
834c83fffffffff,3.0,0.0,0.0
834cb3fffffffff,4.0,0.0,0.0
834cc5fffffffff,32.0,0.0,0.0
835e43fffffffff,1.0,0.0,0.0
835e5dfffffffff,15.0,0.0,0.0
835e66fffffffff,39.0,0.0,0.0
835e70fffffffff,8.0,0.0,0.0
835e72fffffffff,17.0,0.0,0.0
835f42fffffffff,5.0,0.0,0.0
835f58fffffffff,6.0,0.0,0.0
835f5bfffffffff,8.0,0.0,0.0
835f5dfffffffff,1.0,0.0,0.0
836602fffffffff,2.0,0.0,2.0
83660bfffffffff,5.0,0.0,0.0
83660dfffffffff,12.0,0.0,0.0
836610fffffffff,32.0,0.0,6.0
836613fffffffff,44.0,0.0,0.0
836616fffffffff,2.0,0.0,0.0
836619fffffffff,3.0,0.0,3.0
836621fffffffff,14.0,0.0,0.0
836622fffffffff,1.0,0.0,1.0
83662cfffffffff,2.0,0.0,0.0
836654fffffffff,4.0,0.0,0.0
836656fffffffff,4.0,0.0,0.0
836672fffffffff,12.0,0.0,0.0
836676fffffffff,1.0,0.0,0.0
8366a0fffffffff,29.0,0.0,2.0
8366a1fffffffff,2.0,0.0,0.0
8366a2fffffffff,1.0,0.0,0.0
8366a3fffffffff,18.0,0.0,0.0
8366a5fffffffff,59.0,0.0,10.0
8366b0fffffffff,1.0,0.0,0.0
8366b4fffffffff,15.0,1.0,0.0
