cell_id,Haemorhous mexicanus,Haemorhous mexicanus [mexicanus Group],Haemorhous mexicanus mcgregori
8426513ffffffff,2.0,0.0,0.0
8426515ffffffff,29.0,0.0,0.0
8426519ffffffff,14.0,0.0,0.0
842651bffffffff,31.0,0.0,0.0
842651dffffffff,68.0,0.0,0.0
8426521ffffffff,84.0,0.0,0.0
8426523ffffffff,6.0,0.0,0.0
8426525ffffffff,33.0,0.0,0.0
8426527ffffffff,40.0,0.0,0.0
8426529ffffffff,183.0,2.0,0.0
842652bffffffff,27.0,0.0,0.0
842652dffffffff,84.0,0.0,0.0
8426531ffffffff,206.0,0.0,0.0
8426533ffffffff,1302.0,0.0,0.0
8426535ffffffff,8.0,0.0,0.0
8426537ffffffff,32.0,0.0,0.0
8426539ffffffff,54.0,0.0,0.0
842653bffffffff,632.0,0.0,0.0
842653dffffffff,71.0,0.0,0.0
8426541ffffffff,11.0,0.0,0.0
8426543ffffffff,111.0,0.0,0.0
8426545ffffffff,4.0,0.0,0.0
8426547ffffffff,30.0,0.0,0.0
8426549ffffffff,7.0,0.0,0.0
842654bffffffff,97.0,0.0,0.0
842654dffffffff,23.0,0.0,0.0
8426551ffffffff,416.0,0.0,0.0
8426553ffffffff,12.0,0.0,0.0
8426555ffffffff,619.0,0.0,0.0
8426557ffffffff,330.0,0.0,0.0
8426559ffffffff,28.0,0.0,0.0
842655bffffffff,67.0,0.0,0.0
842655dffffffff,2134.0,0.0,0.0
8426561ffffffff,784.0,0.0,0.0
8426563ffffffff,984.0,0.0,0.0
8426565ffffffff,592.0,0.0,0.0
8426567ffffffff,2094.0,0.0,0.0
8426569ffffffff,15.0,0.0,0.0
842656bffffffff,37.0,0.0,0.0
842656dffffffff,130.0,0.0,0.0
8426581ffffffff,4.0,0.0,0.0
8426583ffffffff,5.0,0.0,0.0
8426585ffffffff,22.0,0.0,0.0
8426587ffffffff,88.0,0.0,0.0
8426589ffffffff,47.0,0.0,0.0
842658bffffffff,12.0,0.0,0.0
