cell_id,Pica pica,Pica pica melanotos,Pica pica [pica Group],Pica pica camtschatica
8409837ffffffff,2.0,0.0,0.0,0.0
840983bffffffff,4.0,0.0,0.0,0.0
8409881ffffffff,8.0,0.0,3.0,0.0
8409883ffffffff,6.0,0.0,2.0,0.0
8409885ffffffff,8.0,0.0,5.0,0.0
8409887ffffffff,7.0,0.0,6.0,0.0
8409889ffffffff,6.0,0.0,0.0,0.0
8409891ffffffff,2.0,0.0,0.0,0.0
8409893ffffffff,22.0,0.0,2.0,0.0
8409895ffffffff,1.0,0.0,1.0,0.0
8409897ffffffff,4.0,0.0,0.0,0.0
8409899ffffffff,1.0,0.0,0.0,0.0
840989bffffffff,1.0,0.0,0.0,0.0
84098a3ffffffff,2.0,0.0,2.0,0.0
84098a9ffffffff,5.0,0.0,3.0,0.0
84098abffffffff,13.0,0.0,13.0,0.0
84098adffffffff,2.0,0.0,0.0,0.0
84098b1ffffffff,3.0,0.0,0.0,0.0
84098b7ffffffff,2.0,0.0,0.0,0.0
84098b9ffffffff,1.0,0.0,0.0,0.0
84098bbffffffff,5.0,0.0,1.0,0.0
84098bdffffffff,9.0,0.0,9.0,0.0
84098c1ffffffff,9.0,0.0,2.0,0.0
84098c3ffffffff,5.0,0.0,0.0,0.0
84098c5ffffffff,12.0,0.0,9.0,0.0
84098c7ffffffff,35.0,0.0,11.0,0.0
84098cbffffffff,3.0,0.0,0.0,0.0
84098cdffffffff,3.0,0.0,0.0,0.0
84098d1ffffffff,7.0,0.0,0.0,0.0
84098d5ffffffff,1.0,0.0,0.0,0.0
84098d9ffffffff,5.0,0.0,0.0,0.0
84098dbffffffff,2.0,0.0,0.0,0.0
84098ddffffffff,4.0,0.0,0.0,0.0
84098e1ffffffff,6.0,0.0,0.0,0.0
84098e3ffffffff,7.0,0.0,0.0,0.0
84098e7ffffffff,2.0,0.0,0.0,0.0
84098e9ffffffff,6.0,0.0,2.0,0.0
84098ebffffffff,5.0,0.0,3.0,0.0
84098edffffffff,2.0,0.0,0.0,0.0
8409911ffffffff,96.0,0.0,5.0,0.0
8409913ffffffff,34.0,0.0,0.0,0.0
8409917ffffffff,62.0,0.0,9.0,0.0
840991bffffffff,188.0,0.0,8.0,0.0
8409937ffffffff,3.0,0.0,0.0,0.0
8409981ffffffff,10.0,0.0,0.0,0.0
8409983ffffffff,10.0,0.0,4.0,0.0
8409987ffffffff,13.0,0.0,0.0,0.0
8409991ffffffff,73.0,0.0,12.0,0.0
8409993ffffffff,507.0,0.0,102.0,0.0
8409995ffffffff,26.0,0.0,6.0,0.0
8409997ffffffff,37.0,0.0,16.0,0.0
8409999ffffffff,4.0,0.0,0.0,0.0
840999bffffffff,7.0,0.0,0.0,0.0
84099a3ffffffff,1.0,0.0,0.0,0.0
84099a7ffffffff,4.0,0.0,0.0,0.0
84099b1ffffffff,9.0,0.0,2.0,0.0
84099b3ffffffff,2.0,0.0,0.0,0.0
84099b9ffffffff,311.0,0.0,7.0,0.0
84099bbffffffff,2.0,0.0,0.0,0.0
84099bdffffffff,19.0,0.0,0.0,0.0
84099c5ffffffff,1.0,0.0,0.0,0.0
84099cbffffffff,2.0,0.0,0.0,0.0
84099cdffffffff,8.0,0.0,0.0,0.0
84099d5ffffffff,2.0,0.0,0.0,0.0
84099d7ffffffff,3.0,0.0,2.0,0.0
84099e9ffffffff,114.0,0.0,2.0,0.0
84099ebffffffff,2.0,0.0,0.0,0.0
8409ab1ffffffff,2.0,0.0,0.0,0.0
8409ab3ffffffff,1.0,0.0,0.0,0.0
8409ab7ffffffff,2.0,0.0,0.0,0.0
840a337ffffffff,5.0,0.0,0.0,0.0
840a91dffffffff,2.0,0.0,0.0,0.0
840aa6dffffffff,1.0,0.0,0.0,0.0
840b917ffffffff,2.0,0.0,0.0,0.0
840b931ffffffff,2.0,0.0,0.0,0.0
840b935ffffffff,4.0,0.0,0.0,0.0
840b9a7ffffffff,7.0,0.0,0.0,0.0
840bb01ffffffff,86.0,0.0,0.0,0.0
840bb03ffffffff,22.0,0.0,3.0,0.0
840bb05ffffffff,1.0,0.0,0.0,0.0
840bb07ffffffff,19.0,0.0,0.0,0.0
840bb0dffffffff,6.0,0.0,0.0,0.0
840bb1dffffffff,2.0,0.0,0.0,0.0
840bb39ffffffff,4.0,0.0,0.0,0.0
840bb3dffffffff,3.0,0.0,0.0,0.0
840bb45ffffffff,4.0,0.0,0.0,0.0
840bb63ffffffff,1.0,0.0,0.0,0.0
840bb6bffffffff,2.0,0.0,0.0,0.0
8410161ffffffff,4.0,0.0,0.0,0.0
8410167ffffffff,11.0,0.0,0.0,0.0
8410203ffffffff,2.0,0.0,0.0,0.0
8410231ffffffff,1.0,0.0,0.0,0.0
8410239ffffffff,2.0,0.0,0.0,0.0
841023dffffffff,1.0,0.0,0.0,0.0
8410351ffffffff,2.0,0.0,0.0,0.0
8410811ffffffff,1.0,0.0,1.0,0.0
8410893ffffffff,2.0,0.0,0.0,0.0
8410897ffffffff,2.0,0.0,0.0,0.0
8410935ffffffff,2.0,0.0,0.0,0.0
8410969ffffffff,3.0,0.0,0.0,0.0
84109a9ffffffff,1.0,0.0,0.0,0.0
8410a1dffffffff,1.0,0.0,0.0,0.0
8410a21ffffffff,2.0,0.0,0.0,0.0
8410b39ffffffff,4.0,0.0,0.0,0.0
8410c03ffffffff,2.0,0.0,0.0,0.0
8410c05ffffffff,10.0,0.0,0.0,0.0
8410c07ffffffff,2.0,0.0,0.0,0.0
8410c21ffffffff,3.0,0.0,0.0,0.0
8410c23ffffffff,141.0,0.0,0.0,0.0
8410c25ffffffff,1.0,0.0,0.0,0.0
8410c27ffffffff,18.0,0.0,0.0,0.0
8410c29ffffffff,2.0,0.0,0.0,0.0
8410c35ffffffff,11.0,0.0,0.0,0.0
8410c3dffffffff,2.0,0.0,0.0,0.0
8410d13ffffffff,1.0,0.0,0.0,0.0
8410d21ffffffff,4.0,0.0,0.0,0.0
8410d5bffffffff,1.0,0.0,0.0,0.0
8410db7ffffffff,1.0,0.0,0.0,0.0
8410dc1ffffffff,20.0,0.0,0.0,0.0
8410dc9ffffffff,124.0,0.0,2.0,0.0
8410dcdffffffff,9.0,0.0,0.0,0.0
8410f01ffffffff,1.0,0.0,0.0,0.0
8410f0dffffffff,12.0,0.0,3.0,0.0
8410f1bffffffff,3.0,0.0,0.0,0.0
8410f21ffffffff,1.0,0.0,0.0,0.0
8410f29ffffffff,2.0,0.0,0.0,0.0
8410f2bffffffff,2.0,0.0,0.0,0.0
8411001ffffffff,2.0,0.0,0.0,0.0
8411009ffffffff,1.0,0.0,0.0,0.0
8411029ffffffff,3.0,0.0,0.0,0.0
8411031ffffffff,8.0,0.0,0.0,0.0
8411039ffffffff,2.0,0.0,0.0,0.0
841103bffffffff,26.0,0.0,0.0,0.0
8411041ffffffff,3.0,0.0,0.0,0.0
8411043ffffffff,8.0,0.0,0.0,0.0
8411045ffffffff,10.0,0.0,0.0,0.0
8411049ffffffff,3.0,0.0,0.0,0.0
841104dffffffff,1.0,0.0,0.0,0.0
8411051ffffffff,2.0,0.0,0.0,0.0
8411059ffffffff,27.0,0.0,8.0,0.0
841105bffffffff,6.0,0.0,4.0,0.0
841105dffffffff,7.0,0.0,0.0,0.0
8411061ffffffff,142.0,0.0,0.0,0.0
8411063ffffffff,20.0,0.0,0.0,0.0
8411065ffffffff,3.0,0.0,0.0,0.0
8411069ffffffff,73.0,0.0,0.0,0.0
841106bffffffff,107.0,0.0,0.0,0.0
841106dffffffff,7.0,0.0,0.0,0.0
8411085ffffffff,2.0,0.0,0.0,0.0
84110ebffffffff,5.0,0.0,0.0,0.0
8411137ffffffff,2.0,0.0,0.0,0.0
8411139ffffffff,2.0,0.0,0.0,0.0
8411151ffffffff,2.0,0.0,0.0,0.0
8411155ffffffff,2.0,0.0,0.0,0.0
