cell_id,Anarhynchus alexandrinus,Anarhynchus alexandrinus alexandrinus/nihonensis,Anarhynchus alexandrinus seebohmi
842c9c7ffffffff,5.0,0.0,0.0
842c9c9ffffffff,17.0,0.0,0.0
842c9ddffffffff,2.0,0.0,0.0
842c9e3ffffffff,3.0,0.0,0.0
842c9e9ffffffff,2.0,2.0,0.0
842c9ebffffffff,1.0,0.0,0.0
842c9edffffffff,14.0,6.0,0.0
842cac3ffffffff,6.0,0.0,0.0
842cc03ffffffff,19.0,0.0,0.0
842cc05ffffffff,21.0,0.0,0.0
842cc07ffffffff,81.0,0.0,0.0
842cc15ffffffff,12.0,0.0,0.0
842cc37ffffffff,3.0,0.0,0.0
842cc3bffffffff,1.0,0.0,0.0
842cc95ffffffff,1.0,0.0,0.0
842cd49ffffffff,51.0,0.0,0.0
842cd4bffffffff,25.0,0.0,0.0
842cd5bffffffff,5.0,0.0,0.0
842cdd5ffffffff,2.0,0.0,0.0
842ce41ffffffff,10.0,0.0,0.0
842ce45ffffffff,10.0,0.0,0.0
842ce49ffffffff,12.0,0.0,0.0
842ce4bffffffff,10.0,0.0,0.0
842ce51ffffffff,27.0,0.0,0.0
842ce59ffffffff,10.0,0.0,0.0
842cf07ffffffff,112.0,0.0,0.0
842cf27ffffffff,19.0,0.0,0.0
842cf35ffffffff,137.0,0.0,0.0
842cf59ffffffff,1.0,0.0,0.0
842cf5bffffffff,17.0,0.0,0.0
842d029ffffffff,1.0,0.0,0.0
842d03bffffffff,14.0,2.0,0.0
842d03dffffffff,4.0,0.0,0.0
842d0edffffffff,9.0,0.0,0.0
842d103ffffffff,4.0,0.0,0.0
842d107ffffffff,30.0,0.0,0.0
842d117ffffffff,8.0,0.0,0.0
842d125ffffffff,135.0,3.0,0.0
842d139ffffffff,1.0,0.0,0.0
842d143ffffffff,3.0,0.0,0.0
842d147ffffffff,4.0,0.0,0.0
842d14bffffffff,66.0,15.0,0.0
842d155ffffffff,1.0,0.0,0.0
842d157ffffffff,1.0,0.0,0.0
842d161ffffffff,3.0,3.0,0.0
