cell_id,Pseudastur albicollis,Pseudastur albicollis ghiesbreghti,Pseudastur albicollis costaricensis,Pseudastur albicollis williaminae,Pseudastur albicollis albicollis
846d6b9ffffffff,2.0,0.0,0.0,0.0,0.0
846d6bbffffffff,260.0,0.0,0.0,0.0,0.0
846d6bdffffffff,2.0,0.0,0.0,0.0,0.0
846d6c9ffffffff,1.0,0.0,0.0,0.0,0.0
846d6d1ffffffff,10.0,0.0,0.0,0.0,0.0
846d6d3ffffffff,25.0,0.0,0.0,0.0,0.0
846d6d5ffffffff,5.0,0.0,0.0,0.0,0.0
846d6d7ffffffff,3.0,0.0,0.0,0.0,0.0
846d745ffffffff,9.0,0.0,0.0,0.0,0.0
8480469ffffffff,12.0,0.0,0.0,0.0,3.0
8480643ffffffff,2.0,0.0,0.0,0.0,0.0
8480655ffffffff,12.0,0.0,0.0,0.0,0.0
84806b7ffffffff,3.0,0.0,0.0,0.0,1.0
8480759ffffffff,3.0,0.0,0.0,0.0,0.0
848075bffffffff,4.0,0.0,0.0,0.0,0.0
84812d1ffffffff,1.0,0.0,0.0,0.0,0.0
84812d7ffffffff,1.0,0.0,0.0,0.0,0.0
84814a1ffffffff,1.0,0.0,0.0,0.0,0.0
84814a9ffffffff,20.0,0.0,0.0,0.0,0.0
84814adffffffff,7.0,0.0,0.0,0.0,0.0
84814d5ffffffff,38.0,0.0,0.0,0.0,0.0
84814d7ffffffff,1.0,0.0,0.0,0.0,0.0
84814d9ffffffff,7.0,0.0,0.0,0.0,0.0
84814dbffffffff,2.0,0.0,0.0,0.0,0.0
84814e3ffffffff,18.0,0.0,0.0,0.0,1.0
84814e5ffffffff,3.0,0.0,0.0,0.0,0.0
84814e7ffffffff,49.0,0.0,0.0,0.0,0.0
84815a1ffffffff,1.0,0.0,0.0,0.0,0.0
84815abffffffff,1.0,0.0,0.0,0.0,0.0
84815d9ffffffff,20.0,0.0,0.0,0.0,0.0
84815e9ffffffff,1.0,0.0,0.0,0.0,0.0
8481711ffffffff,3.0,0.0,0.0,0.0,0.0
848175dffffffff,2.0,0.0,0.0,0.0,0.0
848a233ffffffff,2.0,0.0,0.0,0.0,0.0
848a359ffffffff,1.0,0.0,0.0,0.0,0.0
848a459ffffffff,3.0,0.0,0.0,0.0,0.0
