cell_id,Spinus magellanicus,Spinus magellanicus longirostris,Spinus magellanicus [capitalis Group],Spinus magellanicus [magellanicus Group]
84a8c25ffffffff,8.0,0.0,0.0,0.0
84a8c63ffffffff,2.0,0.0,0.0,0.0
84a8d19ffffffff,4.0,0.0,0.0,0.0
84a8de1ffffffff,13.0,0.0,0.0,0.0
84a8de3ffffffff,8.0,0.0,0.0,0.0
84a8de9ffffffff,4.0,0.0,0.0,0.0
84a8debffffffff,1.0,0.0,0.0,0.0
84a8f41ffffffff,4.0,0.0,0.0,0.0
84a8f45ffffffff,3.0,0.0,0.0,0.0
84a8f57ffffffff,2.0,0.0,0.0,0.0
84a901dffffffff,4.0,0.0,0.0,0.0
84a9033ffffffff,4.0,0.0,0.0,0.0
84a9051ffffffff,34.0,0.0,0.0,0.0
84a9053ffffffff,2.0,0.0,0.0,0.0
84a9057ffffffff,32.0,0.0,0.0,0.0
84a9085ffffffff,11.0,0.0,0.0,0.0
84a908bffffffff,4.0,0.0,0.0,0.0
84a908dffffffff,9.0,0.0,0.0,0.0
84a9091ffffffff,8.0,0.0,0.0,0.0
84a9095ffffffff,28.0,0.0,0.0,0.0
84a9097ffffffff,2.0,0.0,0.0,0.0
84a909dffffffff,6.0,0.0,0.0,0.0
84a90a1ffffffff,2.0,0.0,0.0,0.0
84a90a5ffffffff,4.0,0.0,0.0,0.0
84a90a7ffffffff,10.0,0.0,0.0,0.0
84a90a9ffffffff,4.0,0.0,0.0,0.0
84a90adffffffff,9.0,0.0,0.0,0.0
84a90bbffffffff,4.0,0.0,0.0,0.0
84a90c3ffffffff,3.0,0.0,0.0,0.0
84a90c5ffffffff,4.0,0.0,0.0,0.0
84a90c7ffffffff,2.0,0.0,0.0,0.0
84a90cdffffffff,2.0,0.0,0.0,0.0
84a90d1ffffffff,1.0,0.0,0.0,0.0
84a90d5ffffffff,1.0,0.0,0.0,0.0
84a90e1ffffffff,21.0,0.0,0.0,0.0
84a90e3ffffffff,9.0,0.0,0.0,0.0
84a90e5ffffffff,132.0,0.0,0.0,0.0
84a90e7ffffffff,14.0,0.0,0.0,0.0
84a90e9ffffffff,2.0,0.0,0.0,0.0
84a90ebffffffff,2.0,0.0,0.0,0.0
84a90edffffffff,3.0,0.0,0.0,0.0
84a918bffffffff,11.0,0.0,0.0,0.0
84a9191ffffffff,143.0,0.0,0.0,0.0
84a9193ffffffff,2.0,0.0,0.0,0.0
84a9195ffffffff,11.0,0.0,0.0,0.0
84a9197ffffffff,2.0,0.0,0.0,0.0
84a9199ffffffff,4.0,0.0,0.0,0.0
84a919bffffffff,14.0,0.0,0.0,0.0
84a919dffffffff,4.0,0.0,0.0,0.0
84a91b1ffffffff,39.0,0.0,0.0,0.0
84a91b3ffffffff,5.0,0.0,0.0,0.0
84a91b5ffffffff,1.0,0.0,0.0,0.0
84a91b7ffffffff,47.0,0.0,0.0,0.0
84a91b9ffffffff,3.0,0.0,0.0,0.0
84a91bbffffffff,1.0,0.0,0.0,0.0
84a91d1ffffffff,25.0,0.0,0.0,0.0
84a91d3ffffffff,2.0,0.0,0.0,0.0
84a91d5ffffffff,7.0,0.0,0.0,0.0
84a91d7ffffffff,2.0,0.0,0.0,0.0
84a91d9ffffffff,38.0,0.0,0.0,0.0
84a91dbffffffff,23.0,0.0,0.0,0.0
84a91ddffffffff,5.0,0.0,0.0,0.0
84a9213ffffffff,10.0,0.0,0.0,0.0
84a9217ffffffff,3.0,0.0,0.0,0.0
84a921bffffffff,2.0,0.0,0.0,0.0
84a9283ffffffff,2.0,0.0,0.0,0.0
84a9289ffffffff,8.0,0.0,0.0,0.0
84a9291ffffffff,4.0,0.0,0.0,0.0
84a9293ffffffff,6.0,0.0,0.0,0.0
84a92a5ffffffff,6.0,0.0,0.0,0.0
84a92adffffffff,2.0,0.0,0.0,0.0
84a92bdffffffff,6.0,0.0,0.0,0.0
