cell_id,Cecropis daurica,Cecropis daurica [daurica Group],Cecropis daurica [striolata Group]
843cb39ffffffff,58.0,58.0,0.0
843cb3bffffffff,3.0,3.0,0.0
843cb41ffffffff,8.0,8.0,0.0
843cb45ffffffff,12.0,12.0,0.0
843cb47ffffffff,14.0,14.0,0.0
843cb4bffffffff,65.0,65.0,0.0
843cb4dffffffff,17.0,17.0,0.0
843cb51ffffffff,6.0,6.0,0.0
843cb55ffffffff,5.0,5.0,0.0
843cb59ffffffff,28.0,28.0,0.0
843cb5dffffffff,326.0,326.0,0.0
843cb61ffffffff,8.0,8.0,0.0
843cb65ffffffff,34.0,34.0,0.0
843cb69ffffffff,25.0,25.0,0.0
843cb6bffffffff,15.0,15.0,0.0
843cb6dffffffff,8.0,8.0,0.0
843cc01ffffffff,4.0,2.0,2.0
843cc03ffffffff,34.0,0.0,34.0
843cc07ffffffff,2.0,2.0,0.0
843cc0bffffffff,46.0,0.0,46.0
843cc11ffffffff,5.0,0.0,5.0
843cc15ffffffff,5.0,0.0,5.0
843cc1dffffffff,11.0,0.0,8.0
843cc21ffffffff,2.0,2.0,0.0
843cc27ffffffff,16.0,16.0,0.0
843cc29ffffffff,4.0,4.0,0.0
843cc31ffffffff,21.0,0.0,21.0
843cc33ffffffff,3.0,3.0,0.0
843cc39ffffffff,15.0,0.0,15.0
843cc41ffffffff,10.0,10.0,0.0
843cc43ffffffff,12.0,12.0,0.0
843cc45ffffffff,16.0,16.0,0.0
843cc47ffffffff,5.0,5.0,0.0
843cc4bffffffff,6.0,6.0,0.0
843cc51ffffffff,1.0,0.0,1.0
843cc5bffffffff,25.0,0.0,3.0
843cc5dffffffff,4.0,0.0,4.0
843cc63ffffffff,2.0,2.0,0.0
843cc65ffffffff,3.0,3.0,0.0
843cc67ffffffff,2.0,2.0,0.0
843cc6bffffffff,16.0,16.0,0.0
843cc83ffffffff,3.0,3.0,0.0
843cc9dffffffff,2.0,2.0,0.0
843cca1ffffffff,4.0,4.0,0.0
843ccb5ffffffff,4.0,2.0,2.0
843ccc9ffffffff,43.0,0.0,43.0
843cd13ffffffff,4.0,4.0,0.0
843cd1bffffffff,10.0,10.0,0.0
843cd41ffffffff,5.0,5.0,0.0
843cd49ffffffff,7.0,7.0,0.0
843cd4bffffffff,6.0,6.0,0.0
843cd59ffffffff,1.0,1.0,0.0
843cd5dffffffff,1.0,1.0,0.0
843cd8bffffffff,11.0,8.0,0.0
843cd91ffffffff,25.0,21.0,4.0
843cd93ffffffff,6.0,6.0,0.0
843cd9dffffffff,2.0,2.0,0.0
843cdb1ffffffff,3.0,3.0,0.0
843cdb7ffffffff,2.0,2.0,0.0
843cdc5ffffffff,2.0,2.0,0.0
843cdc9ffffffff,3.0,3.0,0.0
843cdcdffffffff,15.0,15.0,0.0
843cddbffffffff,1.0,1.0,0.0
843ce03ffffffff,3.0,0.0,3.0
843ce11ffffffff,3.0,1.0,2.0
843ce15ffffffff,115.0,56.0,38.0
843ce29ffffffff,5.0,0.0,1.0
843ce2dffffffff,1.0,1.0,0.0
843ce31ffffffff,9.0,0.0,9.0
843ce3bffffffff,4.0,0.0,4.0
843ce43ffffffff,13.0,13.0,0.0
843ce49ffffffff,6.0,6.0,0.0
843ce4bffffffff,10.0,10.0,0.0
843ce4dffffffff,8.0,8.0,0.0
843ce51ffffffff,7.0,7.0,0.0
843ce53ffffffff,2.0,2.0,0.0
843ce55ffffffff,10.0,10.0,0.0
843ce57ffffffff,9.0,9.0,0.0
843ce5bffffffff,3.0,3.0,0.0
843ce5dffffffff,9.0,9.0,0.0
843ce81ffffffff,6.0,0.0,5.0
843ce83ffffffff,37.0,0.0,37.0
843ce85ffffffff,40.0,0.0,39.0
843ce87ffffffff,33.0,0.0,33.0
843ce8bffffffff,12.0,0.0,6.0
843ce95ffffffff,50.0,0.0,50.0
843ce97ffffffff,2.0,1.0,1.0
843cea1ffffffff,15.0,0.0,15.0
843cea3ffffffff,2.0,0.0,2.0
843cea5ffffffff,2.0,0.0,2.0
843cea7ffffffff,21.0,0.0,21.0
843cebdffffffff,41.0,0.0,41.0
843cec1ffffffff,132.0,0.0,125.0
843cec3ffffffff,10.0,0.0,10.0
843ced7ffffffff,2.0,0.0,2.0
843ced9ffffffff,5.0,0.0,0.0
843cf0bffffffff,3.0,3.0,0.0
843cf0dffffffff,10.0,10.0,0.0
843cf11ffffffff,98.0,98.0,0.0
843cf13ffffffff,8.0,8.0,0.0
843cf17ffffffff,46.0,46.0,0.0
843cf1bffffffff,2.0,2.0,0.0
843cf25ffffffff,2.0,2.0,0.0
843cf27ffffffff,4.0,4.0,0.0
843cf29ffffffff,150.0,147.0,0.0
843cf2dffffffff,133.0,133.0,0.0
843cf33ffffffff,6.0,6.0,0.0
843cf35ffffffff,3.0,3.0,0.0
843cf43ffffffff,17.0,17.0,0.0
843cf49ffffffff,2.0,2.0,0.0
843cf4bffffffff,2.0,2.0,0.0
843cf61ffffffff,21.0,21.0,0.0
843cf63ffffffff,2.0,2.0,0.0
843cf65ffffffff,9.0,9.0,0.0
843cf67ffffffff,13.0,13.0,0.0
843d101ffffffff,21.0,21.0,0.0
843d103ffffffff,161.0,161.0,0.0
843d107ffffffff,876.0,875.0,0.0
843d109ffffffff,83.0,83.0,0.0
843d10dffffffff,54.0,54.0,0.0
843d115ffffffff,16.0,16.0,0.0
843d117ffffffff,7.0,7.0,0.0
843d131ffffffff,10.0,10.0,0.0
843d133ffffffff,18.0,18.0,0.0
843d135ffffffff,139.0,139.0,0.0
843d137ffffffff,94.0,94.0,0.0
843d139ffffffff,3794.0,3794.0,0.0
843d13bffffffff,43.0,43.0,0.0
843d13dffffffff,173.0,172.0,0.0
843d141ffffffff,7.0,7.0,0.0
843d143ffffffff,18.0,18.0,0.0
843d145ffffffff,3.0,3.0,0.0
843d147ffffffff,46.0,46.0,0.0
843d149ffffffff,4.0,4.0,0.0
843d14bffffffff,1.0,1.0,0.0
843d14dffffffff,2.0,2.0,0.0
843d151ffffffff,3.0,3.0,0.0
843d155ffffffff,15.0,15.0,0.0
843d157ffffffff,2.0,2.0,0.0
843d15dffffffff,39.0,39.0,0.0
843d16bffffffff,8.0,8.0,0.0
843d1a7ffffffff,3.0,3.0,0.0
843d1a9ffffffff,4.0,4.0,0.0
843d1adffffffff,14.0,14.0,0.0
843d1e5ffffffff,13.0,13.0,0.0
843d1e7ffffffff,20.0,20.0,0.0
843d1edffffffff,202.0,202.0,0.0
843d301ffffffff,4.0,4.0,0.0
843d305ffffffff,4.0,4.0,0.0
843d307ffffffff,23.0,23.0,0.0
843d30dffffffff,13.0,13.0,0.0
843d323ffffffff,4.0,4.0,0.0
843d325ffffffff,13.0,13.0,0.0
843d335ffffffff,23.0,23.0,0.0
843d337ffffffff,10.0,10.0,0.0
843d339ffffffff,3.0,3.0,0.0
843d33dffffffff,20.0,20.0,0.0
843d341ffffffff,6.0,6.0,0.0
843d345ffffffff,12.0,12.0,0.0
843d349ffffffff,3.0,3.0,0.0
843d34bffffffff,2.0,2.0,0.0
843d34dffffffff,2.0,2.0,0.0
843d363ffffffff,28.0,28.0,0.0
843d36bffffffff,19.0,19.0,0.0
843d805ffffffff,4.0,4.0,0.0
843d80bffffffff,5.0,5.0,0.0
843d80dffffffff,29.0,29.0,0.0
843d817ffffffff,2.0,2.0,0.0
843d82bffffffff,4.0,4.0,0.0
843d839ffffffff,5.0,5.0,0.0
843d83bffffffff,2.0,2.0,0.0
843d841ffffffff,1.0,1.0,0.0
843d845ffffffff,132.0,132.0,0.0
843d847ffffffff,31.0,31.0,0.0
843d84dffffffff,6.0,6.0,0.0
843d851ffffffff,14.0,14.0,0.0
843d853ffffffff,38.0,38.0,0.0
843d855ffffffff,1.0,1.0,0.0
843d859ffffffff,33.0,33.0,0.0
843d85bffffffff,5.0,5.0,0.0
843d85dffffffff,7.0,7.0,0.0
843d861ffffffff,3.0,3.0,0.0
843d863ffffffff,12.0,12.0,0.0
843d86bffffffff,23.0,23.0,0.0
843d881ffffffff,4.0,4.0,0.0
843d899ffffffff,2.0,2.0,0.0
843d8a5ffffffff,4.0,4.0,0.0
843d8adffffffff,4.0,4.0,0.0
843d8b1ffffffff,4.0,4.0,0.0
843d8b7ffffffff,3.0,3.0,0.0
843d8b9ffffffff,6.0,6.0,0.0
843d8bdffffffff,5.0,5.0,0.0
843d8c1ffffffff,3.0,3.0,0.0
843d8c9ffffffff,1.0,1.0,0.0
843d8d1ffffffff,6.0,6.0,0.0
843d8d5ffffffff,2.0,2.0,0.0
843d8dbffffffff,1.0,1.0,0.0
843d8ddffffffff,12.0,12.0,0.0
843d90dffffffff,3.0,3.0,0.0
843d911ffffffff,1.0,1.0,0.0
843d915ffffffff,56.0,56.0,0.0
843d921ffffffff,5.0,5.0,0.0
843d923ffffffff,2.0,2.0,0.0
843d927ffffffff,4.0,4.0,0.0
843d929ffffffff,46.0,46.0,0.0
843d92dffffffff,34.0,34.0,0.0
843d933ffffffff,16.0,16.0,0.0
843d939ffffffff,1.0,1.0,0.0
843d93bffffffff,6.0,6.0,0.0
843d93dffffffff,2.0,2.0,0.0
843d943ffffffff,2.0,2.0,0.0
843d949ffffffff,1.0,1.0,0.0
843d94bffffffff,3.0,3.0,0.0
843d959ffffffff,2.0,2.0,0.0
843d963ffffffff,32.0,32.0,0.0
843d967ffffffff,200.0,200.0,0.0
843d96bffffffff,2.0,2.0,0.0
843d981ffffffff,3.0,3.0,0.0
843d983ffffffff,13.0,13.0,0.0
843d985ffffffff,6.0,6.0,0.0
843d987ffffffff,28.0,28.0,0.0
843d98dffffffff,46.0,46.0,0.0
843d991ffffffff,2.0,2.0,0.0
843d993ffffffff,98.0,98.0,0.0
843d997ffffffff,10.0,10.0,0.0
843d9a3ffffffff,7.0,7.0,0.0
843d9a5ffffffff,5.0,5.0,0.0
843d9a7ffffffff,17.0,17.0,0.0
843d9abffffffff,2.0,2.0,0.0
843d9adffffffff,12.0,12.0,0.0
843d9b1ffffffff,12.0,12.0,0.0
843d9b5ffffffff,9.0,9.0,0.0
843d9b7ffffffff,611.0,611.0,0.0
843d9b9ffffffff,61.0,61.0,0.0
843d9bdffffffff,10.0,10.0,0.0
843d9c7ffffffff,4.0,4.0,0.0
843d9d1ffffffff,167.0,167.0,0.0
843d9d3ffffffff,77.0,77.0,0.0
843d9d5ffffffff,10.0,10.0,0.0
843d9dbffffffff,137.0,137.0,0.0
843d9e3ffffffff,2.0,2.0,0.0
843d9e5ffffffff,450.0,450.0,0.0
843d9e7ffffffff,27.0,27.0,0.0
843d9edffffffff,12.0,12.0,0.0
843da03ffffffff,7.0,7.0,0.0
843da11ffffffff,335.0,335.0,0.0
843da13ffffffff,38.0,38.0,0.0
843da15ffffffff,9.0,9.0,0.0
843da17ffffffff,5.0,5.0,0.0
843da19ffffffff,25.0,25.0,0.0
843da1bffffffff,41.0,41.0,0.0
843da1dffffffff,246.0,246.0,0.0
843da21ffffffff,29.0,29.0,0.0
843da25ffffffff,18.0,18.0,0.0
843da27ffffffff,6.0,6.0,0.0
843da2bffffffff,3.0,3.0,0.0
843da2dffffffff,5.0,5.0,0.0
