cell_id,Cygnus columbianus,Cygnus columbianus columbianus,Cygnus columbianus bewickii,Cygnus columbianus columbianus x bewickii
84268c7ffffffff,26.0,0.0,0.0,0.0
84268cdffffffff,211.0,5.0,0.0,0.0
84268d3ffffffff,4.0,0.0,0.0,0.0
84268d9ffffffff,11.0,0.0,0.0,0.0
84268e1ffffffff,19.0,0.0,0.0,0.0
84268e7ffffffff,5.0,0.0,0.0,0.0
84268e9ffffffff,10.0,0.0,0.0,0.0
84268ebffffffff,13.0,2.0,0.0,0.0
8426907ffffffff,4.0,2.0,0.0,0.0
842690bffffffff,5.0,3.0,0.0,0.0
8426945ffffffff,13.0,0.0,0.0,0.0
8426957ffffffff,6.0,4.0,0.0,0.0
842695bffffffff,4.0,2.0,0.0,0.0
8426961ffffffff,95.0,72.0,2.0,2.0
8426963ffffffff,2.0,0.0,0.0,0.0
8426969ffffffff,97.0,28.0,12.0,0.0
842696bffffffff,144.0,20.0,0.0,0.0
8426981ffffffff,1.0,0.0,0.0,0.0
8426983ffffffff,1.0,0.0,0.0,0.0
8426987ffffffff,44.0,0.0,0.0,0.0
8426989ffffffff,2.0,2.0,0.0,0.0
8426995ffffffff,2.0,0.0,0.0,0.0
84269c1ffffffff,4.0,2.0,0.0,0.0
84269c3ffffffff,9.0,0.0,0.0,0.0
84269c9ffffffff,13.0,0.0,0.0,0.0
84269cdffffffff,191.0,0.0,0.0,0.0
8426a29ffffffff,2.0,2.0,0.0,0.0
8426a8bffffffff,4.0,0.0,0.0,0.0
8426a95ffffffff,25.0,0.0,0.0,0.0
8426aa1ffffffff,61.0,16.0,0.0,0.0
8426aa5ffffffff,44.0,0.0,0.0,0.0
8426aa7ffffffff,2.0,0.0,0.0,0.0
8426aa9ffffffff,3.0,0.0,0.0,0.0
8426aabffffffff,11.0,5.0,0.0,0.0
8426aadffffffff,67.0,4.0,0.0,0.0
8426ad1ffffffff,1.0,1.0,0.0,0.0
8426ae9ffffffff,5.0,0.0,0.0,0.0
8426b0bffffffff,2.0,0.0,0.0,0.0
8426b55ffffffff,4.0,0.0,0.0,0.0
8426b5dffffffff,2.0,0.0,0.0,0.0
8426b6dffffffff,2.0,0.0,0.0,0.0
8426c07ffffffff,1.0,0.0,0.0,0.0
8426c19ffffffff,5.0,0.0,0.0,0.0
8426c43ffffffff,4.0,0.0,0.0,0.0
8426c4bffffffff,2.0,0.0,0.0,0.0
8426c4dffffffff,7.0,0.0,0.0,0.0
8426c5bffffffff,4.0,0.0,0.0,0.0
8426c89ffffffff,2.0,0.0,0.0,0.0
8426cabffffffff,13.0,0.0,0.0,0.0
8426cbdffffffff,2.0,0.0,0.0,0.0
8426cd3ffffffff,2.0,0.0,0.0,0.0
8426cdbffffffff,2.0,0.0,0.0,0.0
8426d45ffffffff,2.0,0.0,0.0,0.0
8426d95ffffffff,4.0,0.0,0.0,0.0
8426dadffffffff,2.0,0.0,0.0,0.0
8426dd1ffffffff,8.0,0.0,0.0,0.0
8426dd9ffffffff,24.0,0.0,0.0,0.0
8426ddbffffffff,3.0,0.0,0.0,0.0
8426dddffffffff,2.0,0.0,0.0,0.0
8426de1ffffffff,1.0,0.0,0.0,0.0
8426e19ffffffff,1.0,0.0,0.0,0.0
8426e1dffffffff,2.0,0.0,0.0,0.0
8426e21ffffffff,78.0,0.0,0.0,0.0
8426e2dffffffff,3.0,0.0,0.0,0.0
8426e43ffffffff,5.0,0.0,0.0,0.0
8426e55ffffffff,3.0,0.0,0.0,0.0
8426e5bffffffff,32.0,0.0,0.0,0.0
8426e5dffffffff,12.0,0.0,0.0,0.0
8426ea1ffffffff,2.0,0.0,0.0,0.0
8426ecdffffffff,2.0,0.0,0.0,0.0
8426ed7ffffffff,1.0,0.0,0.0,0.0
8426eedffffffff,13.0,0.0,0.0,0.0
8426f25ffffffff,26.0,6.0,0.0,0.0
8426f53ffffffff,2.0,0.0,0.0,0.0
8426f57ffffffff,2.0,0.0,0.0,0.0
8427021ffffffff,5.0,0.0,0.0,0.0
8427023ffffffff,44.0,0.0,0.0,0.0
8427025ffffffff,3.0,0.0,0.0,0.0
8427097ffffffff,2.0,0.0,0.0,0.0
84270a5ffffffff,9.0,0.0,0.0,0.0
84270a7ffffffff,3.0,0.0,0.0,0.0
8427111ffffffff,2.0,0.0,0.0,0.0
8427117ffffffff,1.0,0.0,0.0,0.0
8427119ffffffff,6.0,0.0,0.0,0.0
842711bffffffff,12.0,0.0,0.0,0.0
8427131ffffffff,19.0,0.0,0.0,0.0
8427133ffffffff,6.0,0.0,0.0,0.0
8427157ffffffff,3.0,0.0,0.0,0.0
8427181ffffffff,2.0,0.0,0.0,0.0
8427183ffffffff,23.0,0.0,0.0,0.0
8427195ffffffff,3.0,0.0,0.0,0.0
842719dffffffff,7.0,0.0,0.0,0.0
84271a9ffffffff,1.0,0.0,0.0,0.0
84271abffffffff,2.0,0.0,0.0,0.0
84271b3ffffffff,28.0,3.0,0.0,0.0
84271b5ffffffff,2.0,0.0,0.0,0.0
84271b7ffffffff,2.0,0.0,0.0,0.0
84271bbffffffff,2.0,0.0,0.0,0.0
