cell_id,Falco tinnunculus,Falco tinnunculus [tinnunculus Group],Falco tinnunculus canariensis/dacotiae,Falco tinnunculus neglectus/alexandri,Falco tinnunculus rufescens
824197fffffffff,36.0,22.0,0.0,0.0,0.0
82419ffffffffff,49.0,4.0,0.0,0.0,0.0
8241a7fffffffff,1476.0,174.0,0.0,0.0,0.0
8241b7fffffffff,1130.0,56.0,0.0,0.0,0.0
824227fffffffff,21.0,0.0,0.0,0.0,0.0
824237fffffffff,24.0,0.0,0.0,0.0,0.0
82424ffffffffff,17.0,0.0,0.0,0.0,0.0
824257fffffffff,720.0,0.0,0.0,0.0,0.0
82425ffffffffff,165.0,0.0,0.0,0.0,0.0
82426ffffffffff,60.0,0.0,0.0,0.0,0.0
8242c7fffffffff,1666.0,0.0,0.0,0.0,0.0
8242cffffffffff,724.0,0.0,0.0,0.0,0.0
8242d7fffffffff,6.0,0.0,0.0,0.0,0.0
8242dffffffffff,616.0,0.0,0.0,0.0,0.0
8242e7fffffffff,53.0,0.0,0.0,0.0,0.0
8242effffffffff,127.0,0.0,0.0,0.0,0.0
824307fffffffff,9.0,0.0,0.0,0.0,0.0
82430ffffffffff,4.0,0.0,0.0,0.0,0.0
824317fffffffff,25.0,0.0,0.0,0.0,0.0
82431ffffffffff,21.0,0.0,0.0,0.0,0.0
824327fffffffff,15.0,0.0,0.0,0.0,0.0
82432ffffffffff,10.0,0.0,0.0,0.0,0.0
824337fffffffff,19.0,0.0,0.0,0.0,0.0
824357fffffffff,13.0,0.0,0.0,0.0,0.0
824367fffffffff,474.0,0.0,0.0,0.0,0.0
824377fffffffff,14.0,0.0,0.0,0.0,0.0
824387fffffffff,34.0,0.0,0.0,0.0,0.0
82438ffffffffff,66.0,0.0,0.0,0.0,0.0
824397fffffffff,9.0,0.0,0.0,0.0,0.0
82439ffffffffff,11.0,0.0,0.0,0.0,0.0
8243a7fffffffff,754.0,32.0,0.0,0.0,0.0
8243affffffffff,1452.0,81.0,0.0,0.0,0.0
824a27fffffffff,24.0,1.0,0.0,0.0,0.0
824b0ffffffffff,2.0,0.0,0.0,0.0,0.0
824b1ffffffffff,4.0,0.0,0.0,0.0,0.0
824b27fffffffff,5.0,1.0,0.0,0.0,0.0
824b37fffffffff,50.0,22.0,0.0,0.0,0.0
824b57fffffffff,13.0,2.0,0.0,0.0,0.0
824b67fffffffff,48.0,10.0,0.0,0.0,0.0
824b77fffffffff,89.0,30.0,0.0,0.0,0.0
824b87fffffffff,1406.0,124.0,0.0,0.0,0.0
824b97fffffffff,54.0,0.0,0.0,0.0,0.0
824b9ffffffffff,256.0,0.0,0.0,0.0,0.0
824ba7fffffffff,4635.0,276.0,0.0,0.0,0.0
824baffffffffff,8.0,4.0,0.0,0.0,0.0
824bb7fffffffff,2069.0,114.0,0.0,0.0,0.0
824f4ffffffffff,3.0,0.0,0.0,0.0,0.0
825207fffffffff,162.0,0.0,0.0,0.0,0.0
825217fffffffff,46.0,0.0,0.0,0.0,0.0
82521ffffffffff,45.0,0.0,0.0,0.0,0.0
825237fffffffff,40.0,0.0,0.0,0.0,0.0
