cell_id,Cistothorus platensis,Cistothorus platensis [elegans Group],Cistothorus platensis alticola,Cistothorus platensis aequatorialis,Cistothorus platensis graminicola,Cistothorus platensis minimus,Cistothorus platensis tucumanus,Cistothorus platensis platensis/polyglottus,Cistothorus platensis hornensis/falklandicus
83b2e8fffffffff,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b2ecfffffffff,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b2eefffffffff,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b320fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b325fffffffff,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b326fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b342fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b346fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b351fffffffff,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b353fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b354fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b355fffffffff,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b35afffffffff,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b35cfffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b35efffffffff,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b372fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b373fffffffff,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c203fffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c205fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c218fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c21bfffffffff,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c21dfffffffff,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c221fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c228fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c229fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c22afffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c22bfffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c22cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c22efffffffff,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c2c5fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c2cefffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c2d0fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c2d1fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c2dbfffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c2e0fffffffff,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c2e1fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c2e2fffffffff,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c2e3fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c2e4fffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c2e6fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c2e8fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c2e9fffffffff,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c2eafffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c2ecfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c308fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c309fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c329fffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c32dfffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c340fffffffff,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c341fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c342fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c343fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c344fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c345fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c346fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c348fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c349fffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c34afffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c34bfffffffff,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c34efffffffff,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c350fffffffff,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c351fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c352fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c353fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c354fffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c355fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c356fffffffff,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c35afffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c35bfffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c35cfffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c360fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c363fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c36dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c371fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c373fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c375fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83ce12fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83ce32fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83ce80fffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83ce81fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83ce82fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
