cell_id,Accipiter striatus,Accipiter striatus [striatus Group],Accipiter striatus [velox Group],Accipiter striatus madrensis,Accipiter striatus chionogaster,Accipiter striatus ventralis,Accipiter striatus erythronemius
832ab5fffffffff,130.0,0.0,117.0,0.0,0.0,0.0,0.0
832ab6fffffffff,93.0,0.0,1.0,0.0,0.0,0.0,0.0
832ad2fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
832ad5fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
832ad6fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
832af0fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
832af6fffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0
832b01fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
832b03fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
832b05fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
832b0afffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0
832b12fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
832b16fffffffff,202.0,0.0,12.0,0.0,0.0,0.0,0.0
832b18fffffffff,29.0,0.0,2.0,0.0,0.0,0.0,0.0
832b19fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
832b1afffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
832b1dfffffffff,76.0,0.0,3.0,0.0,0.0,0.0,0.0
832b23fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
832b24fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
832b25fffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0
832b2cfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
832b30fffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
832b31fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
832b32fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
832b80fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
832b81fffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
832b82fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
832b83fffffffff,8.0,0.0,4.0,0.0,0.0,0.0,0.0
832b85fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
832b88fffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
832b89fffffffff,50.0,0.0,0.0,0.0,0.0,0.0,0.0
